timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583848310156;VielberthGebaeude.1.54;1185.00;363.00;0.184;-0.160;0.000;0.970;0.000
1583848310165;VielberthGebaeude.1.54;1185.00;363.00;0.184;-0.160;0.000;0.970;0.000
1583848310173;VielberthGebaeude.1.54;1185.00;363.00;0.252;0.021;-0.046;0.966;0.000
1583848310181;VielberthGebaeude.1.54;1185.00;363.00;0.238;0.029;-0.048;0.970;0.000
1583848310191;VielberthGebaeude.1.54;1185.00;363.00;0.238;0.031;-0.049;0.970;0.000
1583848310201;VielberthGebaeude.1.54;1185.00;363.00;0.251;0.033;-0.049;0.966;0.000
1583848310211;VielberthGebaeude.1.54;1185.00;363.00;0.273;0.040;-0.049;0.960;0.000
1583848310221;VielberthGebaeude.1.54;1185.00;363.00;0.287;0.036;-0.047;0.956;0.000
1583848310231;VielberthGebaeude.1.54;1185.00;363.00;0.300;0.008;-0.038;0.953;0.000
1583848310241;VielberthGebaeude.1.54;1185.00;363.00;0.300;-0.017;-0.030;0.953;0.000
1583848310251;VielberthGebaeude.1.54;1185.00;363.00;0.303;-0.052;-0.020;0.951;0.000
1583848310261;VielberthGebaeude.1.54;1185.00;363.00;0.299;-0.072;-0.013;0.951;0.000
1583848310271;VielberthGebaeude.1.54;1185.00;363.00;0.289;-0.086;-0.008;0.953;0.000
1583848310281;VielberthGebaeude.1.54;1185.00;363.00;0.277;-0.089;-0.006;0.957;0.000
1583848310291;VielberthGebaeude.1.54;1185.00;363.00;0.270;-0.092;-0.004;0.958;0.000
1583848310301;VielberthGebaeude.1.54;1185.00;363.00;0.253;0.118;0.663;0.695;0.000
1583848310311;VielberthGebaeude.1.54;1185.00;363.00;0.254;0.119;0.663;0.695;0.000
1583848310321;VielberthGebaeude.1.54;1185.00;363.00;0.260;0.128;0.657;0.696;0.000
1583848310331;VielberthGebaeude.1.54;1185.00;363.00;0.242;0.159;0.649;0.703;0.000
1583848310341;VielberthGebaeude.1.54;1185.00;363.00;0.193;0.192;0.627;0.729;0.000
1583848310351;VielberthGebaeude.1.54;1185.00;363.00;0.149;0.210;0.621;0.741;0.000
1583848310361;VielberthGebaeude.1.54;1185.00;363.00;0.151;0.204;0.640;0.725;0.000
1583848310371;VielberthGebaeude.1.54;1185.00;363.00;0.187;0.176;0.648;0.717;0.000
1583848310381;VielberthGebaeude.1.54;1185.00;363.00;0.204;0.141;0.658;0.711;0.000
1583848310391;VielberthGebaeude.1.54;1185.00;363.00;0.220;0.116;0.663;0.706;0.000
1583848310401;VielberthGebaeude.1.54;1185.00;363.00;0.237;0.101;0.676;0.691;0.000
1583848310412;VielberthGebaeude.1.54;1185.00;363.00;0.249;0.095;0.674;0.690;0.000
1583848310423;VielberthGebaeude.1.54;1185.00;363.00;0.244;0.104;0.665;0.698;0.000
