timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583848350888;VielberthGebaeude.1.56;989.00;311.00;0.165;0.070;0.000;0.984;0.000
1583848350898;VielberthGebaeude.1.56;989.00;311.00;0.165;0.070;0.000;0.984;0.000
1583848350908;VielberthGebaeude.1.56;989.00;311.00;0.176;0.105;-0.005;0.979;0.000
1583848350918;VielberthGebaeude.1.56;989.00;311.00;0.167;0.098;-0.005;0.981;0.000
1583848350928;VielberthGebaeude.1.56;989.00;311.00;0.131;0.106;-0.010;0.986;0.000
1583848350937;VielberthGebaeude.1.56;989.00;311.00;0.085;0.133;-0.018;0.987;0.000
1583848350947;VielberthGebaeude.1.56;989.00;311.00;0.079;0.144;-0.020;0.986;0.000
1583848350957;VielberthGebaeude.1.56;989.00;311.00;0.103;0.132;-0.016;0.986;0.000
1583848350967;VielberthGebaeude.1.56;989.00;311.00;0.155;0.121;-0.008;0.980;0.000
1583848350977;VielberthGebaeude.1.56;989.00;311.00;0.182;0.162;-0.011;0.970;0.000
1583848350987;VielberthGebaeude.1.56;989.00;311.00;0.186;0.164;-0.010;0.969;0.000
1583848350997;VielberthGebaeude.1.56;989.00;311.00;0.187;0.108;0.001;0.976;0.000
1583848351007;VielberthGebaeude.1.56;989.00;311.00;0.175;0.037;0.013;0.984;0.000
1583848351017;VielberthGebaeude.1.56;989.00;311.00;0.159;-0.002;0.019;0.987;0.000
1583848351027;VielberthGebaeude.1.56;989.00;311.00;0.159;0.021;0.016;0.987;0.000
1583848351037;VielberthGebaeude.1.56;989.00;311.00;0.165;0.059;0.010;0.985;0.000
1583848351047;VielberthGebaeude.1.56;989.00;311.00;0.169;0.081;0.006;0.982;0.000
1583848351057;VielberthGebaeude.1.56;989.00;311.00;0.164;0.074;0.007;0.984;0.000
1583848351067;VielberthGebaeude.1.56;989.00;311.00;0.150;0.052;0.010;0.987;0.000
1583848351077;VielberthGebaeude.1.56;989.00;311.00;0.137;0.048;0.010;0.989;0.000
1583848351087;VielberthGebaeude.1.56;989.00;311.00;0.137;0.052;0.009;0.989;0.000
1583848351097;VielberthGebaeude.1.56;989.00;311.00;0.147;0.061;0.008;0.987;0.000
1583848351107;VielberthGebaeude.1.56;989.00;311.00;0.163;0.073;0.007;0.984;0.000
1583848351117;VielberthGebaeude.1.56;989.00;311.00;0.174;0.075;0.008;0.982;0.000
1583848351127;VielberthGebaeude.1.56;989.00;311.00;0.174;0.054;0.011;0.983;0.000
