,pred_VielberthGebaeude.1.148,pred_VielberthGebaeude.1.149,pred_VielberthGebaeude.1.47,pred_VielberthGebaeude.1.48,pred_VielberthGebaeude.1.49,pred_VielberthGebaeude.1.52,pred_VielberthGebaeude.1.54,pred_VielberthGebaeude.1.56,pred_VielberthGebaeude.1.57,pred_VielberthGebaeude.1.60,pred_VielberthGebaeude.1.62,pred_VielberthGebaeude.1.64,pred_VielberthGebaeude.1.68,pred_VielberthGebaeude.1.70,pred_VielberthGebaeude.1.71,pred_VielberthGebaeude.1.77,pred_VielberthGebaeude.1.81,pred_VielberthGebaeude.1.86,pred_VielberthGebaeude.2.135,pred_VielberthGebaeude.2.65,pred_VielberthGebaeude.2.66,pred_VielberthGebaeude.2.67,pred_VielberthGebaeude.2.68,pred_VielberthGebaeude.2.78,pred_VielberthGebaeude.3.14,pred_VielberthGebaeude.3.15,pred_VielberthGebaeude.3.169,pred_VielberthGebaeude.3.21,pred_VielberthGebaeude.3.22,pred_VielberthGebaeude.3.23,pred_VielberthGebaeude.3.47,pred_VielberthGebaeude.3.48
VielberthGebaeude.1.148,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.149,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VielberthGebaeude.1.47,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.48,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.49,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.52,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.54,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.56,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.57,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.60,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.62,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.64,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.68,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.70,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.2.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
VielberthGebaeude.2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
