timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583771343001;VielberthGebaeude.1.148;721.00;856.00;0.167;0.084;0.000;0.982;0.000
1583771343021;VielberthGebaeude.1.148;721.00;856.00;0.167;0.084;0.000;0.982;0.000
1583771343041;VielberthGebaeude.1.148;721.00;856.00;0.167;0.084;0.000;0.982;0.000
1583771343061;VielberthGebaeude.1.148;721.00;856.00;0.194;0.102;-0.001;0.976;0.000
1583771343081;VielberthGebaeude.1.148;721.00;856.00;0.199;0.102;-0.000;0.975;0.000
1583771343113;VielberthGebaeude.1.148;721.00;856.00;0.187;0.104;-0.002;0.977;0.000
1583771343123;VielberthGebaeude.1.148;721.00;856.00;0.180;0.102;-0.002;0.978;0.000
1583771343133;VielberthGebaeude.1.148;721.00;856.00;0.176;0.102;-0.003;0.979;0.000
1583771343141;VielberthGebaeude.1.148;721.00;856.00;0.179;0.101;-0.002;0.979;0.000
1583771343149;VielberthGebaeude.1.148;721.00;856.00;0.182;0.104;-0.002;0.978;0.000
1583771343157;VielberthGebaeude.1.148;721.00;856.00;0.185;0.108;-0.003;0.977;0.000
1583771343167;VielberthGebaeude.1.148;721.00;856.00;0.185;0.104;-0.002;0.977;0.000
1583771343177;VielberthGebaeude.1.148;721.00;856.00;0.183;0.096;-0.001;0.978;0.000
1583771343187;VielberthGebaeude.1.148;721.00;856.00;0.174;0.093;-0.001;0.980;0.000
1583771343198;VielberthGebaeude.1.148;721.00;856.00;0.164;0.093;-0.002;0.982;0.000
1583771343207;VielberthGebaeude.1.148;721.00;856.00;0.155;0.087;-0.002;0.984;0.000
1583771343217;VielberthGebaeude.1.148;721.00;856.00;0.152;0.080;-0.001;0.985;0.000
1583771343227;VielberthGebaeude.1.148;721.00;856.00;0.154;0.074;0.000;0.985;0.000
1583771343237;VielberthGebaeude.1.148;721.00;856.00;0.156;0.074;0.000;0.985;0.000
1583771343247;VielberthGebaeude.1.148;721.00;856.00;0.158;0.078;-0.000;0.984;0.000
1583771343258;VielberthGebaeude.1.148;721.00;856.00;0.162;0.077;0.000;0.984;0.000
1583771343267;VielberthGebaeude.1.148;721.00;856.00;0.165;0.072;0.001;0.984;0.000
1583771343277;VielberthGebaeude.1.148;721.00;856.00;0.167;0.069;0.002;0.983;0.000
1583771343287;VielberthGebaeude.1.148;721.00;856.00;0.172;0.064;0.005;0.983;0.000
1583771343298;VielberthGebaeude.1.148;721.00;856.00;0.177;0.054;0.009;0.983;0.000
1583771343308;VielberthGebaeude.1.148;721.00;856.00;0.185;0.046;0.013;0.982;0.000
1583771343317;VielberthGebaeude.1.148;721.00;856.00;0.190;0.043;0.016;0.981;0.000
1583771343329;VielberthGebaeude.1.148;721.00;856.00;0.196;0.042;0.018;0.980;0.000
1583771343338;VielberthGebaeude.1.148;721.00;856.00;0.200;0.043;0.020;0.979;0.000
1583771343348;VielberthGebaeude.1.148;721.00;856.00;0.207;0.044;0.023;0.977;0.000
