timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583771461592;VielberthGebaeude.1.148;721.00;856.00;0.139;0.098;0.000;0.986;0.000
1583771461601;VielberthGebaeude.1.148;721.00;856.00;0.139;0.098;0.000;0.986;0.000
1583771461611;VielberthGebaeude.1.148;721.00;856.00;0.204;0.099;0.006;0.974;0.000
1583771461621;VielberthGebaeude.1.148;721.00;856.00;0.193;0.105;0.004;0.975;0.000
1583771461631;VielberthGebaeude.1.148;721.00;856.00;0.189;0.105;0.004;0.976;0.000
1583771461641;VielberthGebaeude.1.148;721.00;856.00;0.188;0.101;0.004;0.977;0.000
1583771461651;VielberthGebaeude.1.148;721.00;856.00;0.188;0.101;0.004;0.977;0.000
1583771461661;VielberthGebaeude.1.148;721.00;856.00;0.191;0.100;0.005;0.977;0.000
1583771461671;VielberthGebaeude.1.148;721.00;856.00;0.196;0.095;0.006;0.976;0.000
1583771461681;VielberthGebaeude.1.148;721.00;856.00;0.199;0.094;0.007;0.976;0.000
1583771461691;VielberthGebaeude.1.148;721.00;856.00;0.196;0.090;0.007;0.976;0.000
1583771461701;VielberthGebaeude.1.148;721.00;856.00;0.194;0.082;0.009;0.978;0.000
1583771461711;VielberthGebaeude.1.148;721.00;856.00;0.193;0.071;0.011;0.979;0.000
1583771461721;VielberthGebaeude.1.148;721.00;856.00;0.186;0.068;0.011;0.980;0.000
1583771461731;VielberthGebaeude.1.148;721.00;856.00;0.178;0.072;0.010;0.981;0.000
1583771461741;VielberthGebaeude.1.148;721.00;856.00;0.172;0.073;0.009;0.982;0.000
1583771461751;VielberthGebaeude.1.148;721.00;856.00;0.171;0.072;0.009;0.983;0.000
1583771461762;VielberthGebaeude.1.148;721.00;856.00;0.173;0.074;0.009;0.982;0.000
1583771461771;VielberthGebaeude.1.148;721.00;856.00;0.170;0.081;0.007;0.982;0.000
1583771461781;VielberthGebaeude.1.148;721.00;856.00;0.171;0.082;0.007;0.982;0.000
1583771461792;VielberthGebaeude.1.148;721.00;856.00;0.182;0.074;0.010;0.980;0.000
1583771461801;VielberthGebaeude.1.148;721.00;856.00;0.197;0.063;0.013;0.978;0.000
1583771461811;VielberthGebaeude.1.148;721.00;856.00;0.217;0.052;0.016;0.975;0.000
1583771461822;VielberthGebaeude.1.148;721.00;856.00;0.235;0.051;0.017;0.971;0.000
1583771461832;VielberthGebaeude.1.148;721.00;856.00;0.247;0.059;0.016;0.967;0.000
1583771461842;VielberthGebaeude.1.148;721.00;856.00;0.249;0.069;0.014;0.966;0.000
1583771461852;VielberthGebaeude.1.148;721.00;856.00;0.249;0.077;0.011;0.965;0.000
1583771461863;VielberthGebaeude.1.148;721.00;856.00;0.246;0.071;0.013;0.967;0.000
1583771461872;VielberthGebaeude.1.148;721.00;856.00;0.230;0.064;0.014;0.971;0.000
1583771461882;VielberthGebaeude.1.148;721.00;856.00;0.214;0.060;0.014;0.975;0.000
1583771461891;VielberthGebaeude.1.148;721.00;856.00;0.189;0.058;0.012;0.980;0.000
1583771461902;VielberthGebaeude.1.148;721.00;856.00;0.173;0.056;0.012;0.983;0.000
1583771461913;VielberthGebaeude.1.148;721.00;856.00;0.181;0.053;0.013;0.982;0.000
1583771461924;VielberthGebaeude.1.148;721.00;856.00;0.200;0.051;0.014;0.978;0.000
1583771461934;VielberthGebaeude.1.148;721.00;856.00;0.212;0.053;0.014;0.976;0.000
1583771461944;VielberthGebaeude.1.148;721.00;856.00;0.210;0.052;0.014;0.976;0.000
1583771461954;VielberthGebaeude.1.148;721.00;856.00;0.197;0.044;0.016;0.979;0.000
1583771461965;VielberthGebaeude.1.148;721.00;856.00;0.195;0.040;0.016;0.980;0.000
1583771461976;VielberthGebaeude.1.148;721.00;856.00;0.202;0.044;0.016;0.978;0.000
1583771461986;VielberthGebaeude.1.148;721.00;856.00;0.213;0.048;0.015;0.976;0.000
1583771461996;VielberthGebaeude.1.148;721.00;856.00;0.224;0.046;0.016;0.973;0.000
1583771462006;VielberthGebaeude.1.148;721.00;856.00;0.228;0.040;0.018;0.973;0.000
1583771462016;VielberthGebaeude.1.148;721.00;856.00;0.236;0.021;0.028;0.971;0.000
1583771462026;VielberthGebaeude.1.148;721.00;856.00;0.238;0.009;0.036;0.971;0.000
1583771462036;VielberthGebaeude.1.148;721.00;856.00;0.238;0.001;0.043;0.970;0.000
1583771462046;VielberthGebaeude.1.148;721.00;856.00;0.240;-0.002;0.049;0.969;0.000
1583771462056;VielberthGebaeude.1.148;721.00;856.00;0.250;-0.005;0.054;0.967;0.000
1583771462066;VielberthGebaeude.1.148;721.00;856.00;0.255;0.004;0.056;0.965;0.000
1583771462076;VielberthGebaeude.1.148;721.00;856.00;0.261;0.021;0.055;0.964;0.000
1583771462086;VielberthGebaeude.1.148;721.00;856.00;0.261;0.036;0.055;0.963;0.000
1583771462097;VielberthGebaeude.1.148;721.00;856.00;0.260;0.052;0.054;0.963;0.000
1583771462107;VielberthGebaeude.1.148;721.00;856.00;0.254;0.062;0.055;0.964;0.000
1583771462117;VielberthGebaeude.1.148;721.00;856.00;0.249;0.070;0.056;0.964;0.000
1583771462127;VielberthGebaeude.1.148;721.00;856.00;0.248;0.076;0.057;0.964;0.000
1583771462137;VielberthGebaeude.1.148;721.00;856.00;0.243;0.081;0.059;0.965;0.000
1583771462147;VielberthGebaeude.1.148;721.00;856.00;0.243;0.084;0.062;0.965;0.000
