timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583770813418;VielberthGebaeude.1.57;707.00;325.00;0.217;-0.018;0.000;0.976;0.000
1583770813438;VielberthGebaeude.1.57;707.00;325.00;0.217;-0.018;0.000;0.976;0.000
1583770813472;VielberthGebaeude.1.57;707.00;325.00;0.227;-0.007;-0.003;0.974;0.000
1583770813484;VielberthGebaeude.1.57;707.00;325.00;0.242;-0.002;-0.004;0.970;0.000
1583770813494;VielberthGebaeude.1.57;707.00;325.00;0.241;0.002;-0.005;0.971;0.000
1583770813504;VielberthGebaeude.1.57;707.00;325.00;0.239;0.007;-0.006;0.971;0.000
1583770813514;VielberthGebaeude.1.57;707.00;325.00;0.236;0.011;-0.007;0.972;0.000
1583770813524;VielberthGebaeude.1.57;707.00;325.00;0.229;0.016;-0.008;0.973;0.000
1583770813535;VielberthGebaeude.1.57;707.00;325.00;0.220;0.019;-0.009;0.975;0.000
1583770813544;VielberthGebaeude.1.57;707.00;325.00;0.209;0.017;-0.009;0.978;0.000
1583770813555;VielberthGebaeude.1.57;707.00;325.00;0.204;0.010;-0.008;0.979;0.000
1583770813564;VielberthGebaeude.1.57;707.00;325.00;0.200;0.003;-0.006;0.980;0.000
1583770813575;VielberthGebaeude.1.57;707.00;325.00;0.200;0.002;-0.006;0.980;0.000
1583770813584;VielberthGebaeude.1.57;707.00;325.00;0.206;-0.001;-0.006;0.978;0.000
1583770813595;VielberthGebaeude.1.57;707.00;325.00;0.209;0.003;-0.006;0.978;0.000
1583770813604;VielberthGebaeude.1.57;707.00;325.00;0.212;0.005;-0.007;0.977;0.000
1583770813615;VielberthGebaeude.1.57;707.00;325.00;0.212;0.005;-0.007;0.977;0.000
1583770813624;VielberthGebaeude.1.57;707.00;325.00;0.212;0.007;-0.007;0.977;0.000
1583770813634;VielberthGebaeude.1.57;707.00;325.00;0.214;0.014;-0.009;0.977;0.000
1583770813644;VielberthGebaeude.1.57;707.00;325.00;0.212;0.022;-0.011;0.977;0.000
1583770813654;VielberthGebaeude.1.57;707.00;325.00;0.212;0.022;-0.010;0.977;0.000
1583770813665;VielberthGebaeude.1.57;707.00;325.00;0.205;0.033;-0.013;0.978;0.000
1583770813676;VielberthGebaeude.1.57;707.00;325.00;0.195;0.042;-0.015;0.980;0.000
1583770813686;VielberthGebaeude.1.57;707.00;325.00;0.187;0.040;-0.017;0.981;0.000
1583770813697;VielberthGebaeude.1.57;707.00;325.00;0.184;0.035;-0.017;0.982;0.000
1583770813707;VielberthGebaeude.1.57;707.00;325.00;0.185;0.034;-0.018;0.982;0.000
1583770813717;VielberthGebaeude.1.57;707.00;325.00;0.189;0.033;-0.019;0.981;0.000
1583770813727;VielberthGebaeude.1.57;707.00;325.00;0.193;0.036;-0.020;0.980;0.000
1583770813737;VielberthGebaeude.1.57;707.00;325.00;0.196;0.042;-0.021;0.980;0.000
1583770813747;VielberthGebaeude.1.57;707.00;325.00;0.199;0.048;-0.023;0.979;0.000
1583770813757;VielberthGebaeude.1.57;707.00;325.00;0.198;0.052;-0.025;0.978;0.000
1583770813767;VielberthGebaeude.1.57;707.00;325.00;0.202;0.054;-0.025;0.977;0.000
1583770813777;VielberthGebaeude.1.57;707.00;325.00;0.202;0.054;-0.026;0.978;0.000
1583770813788;VielberthGebaeude.1.57;707.00;325.00;0.196;0.050;-0.026;0.979;0.000
1583770813797;VielberthGebaeude.1.57;707.00;325.00;0.189;0.043;-0.026;0.981;0.000
1583770813807;VielberthGebaeude.1.57;707.00;325.00;0.178;0.035;-0.026;0.983;0.000
1583770813817;VielberthGebaeude.1.57;707.00;325.00;0.172;0.029;-0.025;0.984;0.000
1583770813827;VielberthGebaeude.1.57;707.00;325.00;0.173;0.019;-0.024;0.984;0.000
1583770813837;VielberthGebaeude.1.57;707.00;325.00;0.178;0.012;-0.023;0.984;0.000
1583770813847;VielberthGebaeude.1.57;707.00;325.00;0.191;0.001;-0.021;0.981;0.000
1583770813857;VielberthGebaeude.1.57;707.00;325.00;0.202;-0.010;-0.019;0.979;0.000
1583770813867;VielberthGebaeude.1.57;707.00;325.00;0.211;-0.012;-0.019;0.977;0.000
1583770813877;VielberthGebaeude.1.57;707.00;325.00;0.213;-0.031;-0.016;0.976;0.000
1583770813887;VielberthGebaeude.1.57;707.00;325.00;0.210;-0.045;-0.013;0.977;0.000
1583770813897;VielberthGebaeude.1.57;707.00;325.00;0.211;-0.049;-0.013;0.976;0.000
1583770813907;VielberthGebaeude.1.57;707.00;325.00;0.213;-0.045;-0.016;0.976;0.000
1583770813917;VielberthGebaeude.1.57;707.00;325.00;0.215;-0.041;-0.018;0.975;0.000
1583770813927;VielberthGebaeude.1.57;707.00;325.00;0.221;-0.039;-0.020;0.974;0.000
1583770813937;VielberthGebaeude.1.57;707.00;325.00;0.229;-0.037;-0.023;0.972;0.000
1583770813948;VielberthGebaeude.1.57;707.00;325.00;0.227;-0.025;-0.027;0.973;0.000
1583770813958;VielberthGebaeude.1.57;707.00;325.00;0.226;-0.018;-0.031;0.973;0.000
1583770813969;VielberthGebaeude.1.57;707.00;325.00;0.224;-0.007;-0.035;0.974;0.000
1583770813979;VielberthGebaeude.1.57;707.00;325.00;0.218;-0.001;-0.039;0.975;0.000
1583770813989;VielberthGebaeude.1.57;707.00;325.00;0.209;0.010;-0.044;0.977;0.000
1583770813999;VielberthGebaeude.1.57;707.00;325.00;0.194;0.019;-0.049;0.980;0.000
1583770814009;VielberthGebaeude.1.57;707.00;325.00;0.171;0.028;-0.054;0.983;0.000
1583770814019;VielberthGebaeude.1.57;707.00;325.00;0.163;0.027;-0.057;0.985;0.000
1583770814029;VielberthGebaeude.1.57;707.00;325.00;0.156;0.028;-0.060;0.985;0.000
