timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583770984550;VielberthGebaeude.1.60;335.00;349.00;0.210;-0.045;0.000;0.977;0.000
1583770984571;VielberthGebaeude.1.60;335.00;349.00;0.210;-0.045;0.000;0.977;0.000
1583770984591;VielberthGebaeude.1.60;335.00;349.00;0.210;0.008;-0.011;0.978;0.000
1583770984612;VielberthGebaeude.1.60;335.00;349.00;0.241;-0.007;-0.008;0.971;0.000
1583770984631;VielberthGebaeude.1.60;335.00;349.00;0.236;0.006;-0.011;0.972;0.000
1583770984658;VielberthGebaeude.1.60;335.00;349.00;0.212;0.011;-0.012;0.977;0.000
1583770984667;VielberthGebaeude.1.60;335.00;349.00;0.210;0.013;-0.013;0.978;0.000
1583770984678;VielberthGebaeude.1.60;335.00;349.00;0.230;0.009;-0.012;0.973;0.000
1583770984686;VielberthGebaeude.1.60;335.00;349.00;0.236;0.009;-0.012;0.972;0.000
1583770984696;VielberthGebaeude.1.60;335.00;349.00;0.235;0.013;-0.013;0.972;0.000
1583770984706;VielberthGebaeude.1.60;335.00;349.00;0.228;0.024;-0.015;0.973;0.000
1583770984716;VielberthGebaeude.1.60;335.00;349.00;0.218;0.032;-0.018;0.975;0.000
1583770984726;VielberthGebaeude.1.60;335.00;349.00;0.213;0.033;-0.018;0.976;0.000
1583770984736;VielberthGebaeude.1.60;335.00;349.00;0.209;0.027;-0.017;0.977;0.000
1583770984746;VielberthGebaeude.1.60;335.00;349.00;0.208;0.017;-0.015;0.978;0.000
1583770984756;VielberthGebaeude.1.60;335.00;349.00;0.200;0.005;-0.012;0.980;0.000
1583770984766;VielberthGebaeude.1.60;335.00;349.00;0.194;-0.005;-0.010;0.981;0.000
1583770984776;VielberthGebaeude.1.60;335.00;349.00;0.188;-0.018;-0.008;0.982;0.000
1583770984786;VielberthGebaeude.1.60;335.00;349.00;0.180;-0.024;-0.006;0.983;0.000
1583770984796;VielberthGebaeude.1.60;335.00;349.00;0.174;-0.023;-0.006;0.984;0.000
1583770984807;VielberthGebaeude.1.60;335.00;349.00;0.170;-0.017;-0.007;0.985;0.000
1583770984816;VielberthGebaeude.1.60;335.00;349.00;0.171;-0.009;-0.003;0.985;0.000
1583770984826;VielberthGebaeude.1.60;335.00;349.00;0.179;-0.005;0.001;0.984;0.000
1583770984836;VielberthGebaeude.1.60;335.00;349.00;0.191;-0.007;0.007;0.982;0.000
1583770984846;VielberthGebaeude.1.60;335.00;349.00;0.197;-0.011;0.014;0.980;0.000
1583770984856;VielberthGebaeude.1.60;335.00;349.00;0.207;-0.021;0.021;0.978;0.000
1583770984866;VielberthGebaeude.1.60;335.00;349.00;0.222;-0.034;0.029;0.974;0.000
1583770984876;VielberthGebaeude.1.60;335.00;349.00;0.247;-0.050;0.036;0.967;0.000
1583770984886;VielberthGebaeude.1.60;335.00;349.00;0.267;-0.068;0.044;0.960;0.000
1583770984896;VielberthGebaeude.1.60;335.00;349.00;0.284;-0.091;0.053;0.953;0.000
1583770984906;VielberthGebaeude.1.60;335.00;349.00;0.280;-0.096;0.058;0.954;0.000
1583770984916;VielberthGebaeude.1.60;335.00;349.00;0.256;-0.083;0.060;0.961;0.000
1583770984926;VielberthGebaeude.1.60;335.00;349.00;0.231;-0.067;0.060;0.969;0.000
1583770984936;VielberthGebaeude.1.60;335.00;349.00;0.204;-0.046;0.060;0.976;0.000
1583770984946;VielberthGebaeude.1.60;335.00;349.00;0.192;-0.030;0.059;0.979;0.000
1583770984956;VielberthGebaeude.1.60;335.00;349.00;0.188;-0.018;0.059;0.980;0.000
1583770984966;VielberthGebaeude.1.60;335.00;349.00;0.192;-0.011;0.060;0.979;0.000
1583770984976;VielberthGebaeude.1.60;335.00;349.00;0.199;-0.003;0.061;0.978;0.000
1583770984986;VielberthGebaeude.1.60;335.00;349.00;0.205;0.003;0.062;0.977;0.000
1583770984996;VielberthGebaeude.1.60;335.00;349.00;0.210;0.018;0.061;0.976;0.000
1583770985006;VielberthGebaeude.1.60;335.00;349.00;0.212;0.031;0.061;0.975;0.000
1583770985016;VielberthGebaeude.1.60;335.00;349.00;0.212;0.061;0.057;0.974;0.000
1583770985026;VielberthGebaeude.1.60;335.00;349.00;0.198;0.084;0.055;0.975;0.000
1583770985036;VielberthGebaeude.1.60;335.00;349.00;0.177;0.091;0.055;0.978;0.000
1583770985046;VielberthGebaeude.1.60;335.00;349.00;0.170;0.097;0.058;0.979;0.000
1583770985056;VielberthGebaeude.1.60;335.00;349.00;0.181;0.085;0.066;0.978;0.000
1583770985066;VielberthGebaeude.1.60;335.00;349.00;0.190;0.062;0.077;0.977;0.000
1583770985076;VielberthGebaeude.1.60;335.00;349.00;0.205;0.049;0.086;0.974;0.000
1583770985086;VielberthGebaeude.1.60;335.00;349.00;0.214;0.022;0.097;0.972;0.000
1583770985096;VielberthGebaeude.1.60;335.00;349.00;0.207;-0.002;0.107;0.973;0.000
1583770985106;VielberthGebaeude.1.60;335.00;349.00;0.192;-0.001;0.111;0.975;0.000
1583770985116;VielberthGebaeude.1.60;335.00;349.00;0.172;0.015;0.112;0.979;0.000
1583770985126;VielberthGebaeude.1.60;335.00;349.00;0.164;0.026;0.114;0.980;0.000
1583770985136;VielberthGebaeude.1.60;335.00;349.00;0.156;0.043;0.114;0.980;0.000
1583770985146;VielberthGebaeude.1.60;335.00;349.00;0.149;0.062;0.115;0.980;0.000
1583770985157;VielberthGebaeude.1.60;335.00;349.00;0.161;0.077;0.117;0.977;0.000
1583770985167;VielberthGebaeude.1.60;335.00;349.00;0.174;0.085;0.121;0.974;0.000
1583770985177;VielberthGebaeude.1.60;335.00;349.00;0.191;0.084;0.126;0.970;0.000
1583770985187;VielberthGebaeude.1.60;335.00;349.00;0.192;0.081;0.131;0.969;0.000
1583770985197;VielberthGebaeude.1.60;335.00;349.00;0.184;0.074;0.135;0.971;0.000
1583770985207;VielberthGebaeude.1.60;335.00;349.00;0.177;0.063;0.141;0.972;0.000
1583770985218;VielberthGebaeude.1.60;335.00;349.00;0.167;0.047;0.146;0.974;0.000
1583770985228;VielberthGebaeude.1.60;335.00;349.00;0.156;0.032;0.152;0.975;0.000
1583770985239;VielberthGebaeude.1.60;335.00;349.00;0.150;0.020;0.157;0.976;0.000
1583770985249;VielberthGebaeude.1.60;335.00;349.00;0.146;0.024;0.159;0.976;0.000
1583770985260;VielberthGebaeude.1.60;335.00;349.00;0.140;0.041;0.159;0.976;0.000
1583770985270;VielberthGebaeude.1.60;335.00;349.00;0.138;0.053;0.160;0.976;0.000
1583770985281;VielberthGebaeude.1.60;335.00;349.00;0.135;0.069;0.160;0.976;0.000
1583770985290;VielberthGebaeude.1.60;335.00;349.00;0.132;0.083;0.160;0.975;0.000
1583770985300;VielberthGebaeude.1.60;335.00;349.00;0.127;0.094;0.160;0.974;0.000
1583770985310;VielberthGebaeude.1.60;335.00;349.00;0.123;0.095;0.162;0.974;0.000
1583770985320;VielberthGebaeude.1.60;335.00;349.00;0.128;0.084;0.167;0.974;0.000
1583770985330;VielberthGebaeude.1.60;335.00;349.00;0.142;0.072;0.173;0.972;0.000
1583770985340;VielberthGebaeude.1.60;335.00;349.00;0.177;0.057;0.180;0.966;0.000
1583770985350;VielberthGebaeude.1.60;335.00;349.00;0.210;0.046;0.186;0.959;0.000
1583770985361;VielberthGebaeude.1.60;335.00;349.00;0.240;0.037;0.192;0.951;0.000
1583770985372;VielberthGebaeude.1.60;335.00;349.00;0.246;0.041;0.195;0.949;0.000
1583770985383;VielberthGebaeude.1.60;335.00;349.00;0.249;0.046;0.196;0.947;0.000
1583770985393;VielberthGebaeude.1.60;335.00;349.00;0.249;0.057;0.196;0.947;0.000
1583770985403;VielberthGebaeude.1.60;335.00;349.00;0.239;0.073;0.194;0.949;0.000
1583770985413;VielberthGebaeude.1.60;335.00;349.00;0.229;0.084;0.192;0.951;0.000
1583770985423;VielberthGebaeude.1.60;335.00;349.00;0.215;0.087;0.192;0.954;0.000
1583770985433;VielberthGebaeude.1.60;335.00;349.00;0.208;0.088;0.192;0.955;0.000
1583770985443;VielberthGebaeude.1.60;335.00;349.00;0.207;0.083;0.194;0.955;0.000
1583770985453;VielberthGebaeude.1.60;335.00;349.00;0.201;0.089;0.194;0.956;0.000
1583770985463;VielberthGebaeude.1.60;335.00;349.00;0.192;0.099;0.192;0.957;0.000
1583770985473;VielberthGebaeude.1.60;335.00;349.00;0.180;0.113;0.190;0.959;0.000
1583770985483;VielberthGebaeude.1.60;335.00;349.00;0.171;0.128;0.187;0.959;0.000
1583770985494;VielberthGebaeude.1.60;335.00;349.00;0.161;0.144;0.184;0.959;0.000
1583770985504;VielberthGebaeude.1.60;335.00;349.00;0.153;0.156;0.182;0.959;0.000
1583770985515;VielberthGebaeude.1.60;335.00;349.00;0.147;0.159;0.182;0.959;0.000
1583770985524;VielberthGebaeude.1.60;335.00;349.00;0.140;0.158;0.182;0.960;0.000
1583770985535;VielberthGebaeude.1.60;335.00;349.00;0.128;0.155;0.183;0.962;0.000
1583770985546;VielberthGebaeude.1.60;335.00;349.00;0.127;0.155;0.185;0.962;0.000
1583770985555;VielberthGebaeude.1.60;335.00;349.00;0.126;0.156;0.186;0.962;0.000
1583770985566;VielberthGebaeude.1.60;335.00;349.00;0.125;0.156;0.188;0.962;0.000
1583770985576;VielberthGebaeude.1.60;335.00;349.00;0.124;0.156;0.190;0.961;0.000
1583770985586;VielberthGebaeude.1.60;335.00;349.00;0.123;0.156;0.192;0.961;0.000
