timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583771910642;VielberthGebaeude.1.64;469.00;1365.00;0.260;0.090;0.000;0.961;0.000
1583771910662;VielberthGebaeude.1.64;469.00;1365.00;0.260;0.090;0.000;0.961;0.000
1583771910683;VielberthGebaeude.1.64;469.00;1365.00;0.242;0.095;-0.003;0.966;0.000
1583771910703;VielberthGebaeude.1.64;469.00;1365.00;0.250;0.104;-0.005;0.963;0.000
1583771910719;VielberthGebaeude.1.64;469.00;1365.00;0.246;0.105;-0.005;0.964;0.000
1583771910730;VielberthGebaeude.1.64;469.00;1365.00;0.240;0.101;-0.005;0.965;0.000
1583771910739;VielberthGebaeude.1.64;469.00;1365.00;0.246;0.094;-0.002;0.965;0.000
1583771910749;VielberthGebaeude.1.64;469.00;1365.00;0.250;0.098;-0.003;0.963;0.000
1583771910759;VielberthGebaeude.1.64;469.00;1365.00;0.250;0.104;-0.005;0.963;0.000
1583771910769;VielberthGebaeude.1.64;469.00;1365.00;0.256;0.105;-0.004;0.961;0.000
1583771910779;VielberthGebaeude.1.64;469.00;1365.00;0.261;0.101;-0.003;0.960;0.000
1583771910789;VielberthGebaeude.1.64;469.00;1365.00;0.264;0.098;-0.002;0.960;0.000
1583771910799;VielberthGebaeude.1.64;469.00;1365.00;0.261;0.098;-0.002;0.960;0.000
1583771910809;VielberthGebaeude.1.64;469.00;1365.00;0.259;0.096;-0.001;0.961;0.000
1583771910819;VielberthGebaeude.1.64;469.00;1365.00;0.255;0.097;-0.002;0.962;0.000
1583771910829;VielberthGebaeude.1.64;469.00;1365.00;0.253;0.099;-0.003;0.962;0.000
1583771910839;VielberthGebaeude.1.64;469.00;1365.00;0.253;0.105;-0.004;0.962;0.000
1583771910850;VielberthGebaeude.1.64;469.00;1365.00;0.257;0.106;-0.004;0.961;0.000
1583771910859;VielberthGebaeude.1.64;469.00;1365.00;0.254;0.103;-0.004;0.962;0.000
1583771910869;VielberthGebaeude.1.64;469.00;1365.00;0.255;0.096;-0.002;0.962;0.000
1583771910879;VielberthGebaeude.1.64;469.00;1365.00;0.251;0.093;-0.001;0.964;0.000
1583771910889;VielberthGebaeude.1.64;469.00;1365.00;0.244;0.092;-0.002;0.965;0.000
1583771910899;VielberthGebaeude.1.64;469.00;1365.00;0.243;0.092;-0.002;0.966;0.000
