timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583771875729;VielberthGebaeude.1.64;469.00;1365.00;0.322;0.054;0.000;0.945;0.000
1583771875750;VielberthGebaeude.1.64;469.00;1365.00;0.322;0.054;0.000;0.945;0.000
1583771875769;VielberthGebaeude.1.64;469.00;1365.00;0.244;0.034;0.002;0.969;0.000
1583771875789;VielberthGebaeude.1.64;469.00;1365.00;0.244;0.045;-0.000;0.969;0.000
1583771875810;VielberthGebaeude.1.64;469.00;1365.00;0.233;0.037;0.001;0.972;0.000
1583771875829;VielberthGebaeude.1.64;469.00;1365.00;0.219;0.032;0.002;0.975;0.000
1583771875849;VielberthGebaeude.1.64;469.00;1365.00;0.220;0.033;0.002;0.975;0.000
1583771875869;VielberthGebaeude.1.64;469.00;1365.00;0.233;0.027;0.003;0.972;0.000
1583771875889;VielberthGebaeude.1.64;469.00;1365.00;0.248;0.028;0.004;0.968;0.000
1583771875909;VielberthGebaeude.1.64;469.00;1365.00;0.249;0.034;0.002;0.968;0.000
1583771875929;VielberthGebaeude.1.64;469.00;1365.00;0.238;0.046;-0.002;0.970;0.000
1583771875949;VielberthGebaeude.1.64;469.00;1365.00;0.224;0.055;-0.004;0.973;0.000
1583771875969;VielberthGebaeude.1.64;469.00;1365.00;0.215;0.059;-0.006;0.975;0.000
1583771875989;VielberthGebaeude.1.64;469.00;1365.00;0.218;0.057;-0.006;0.974;0.000
1583771876009;VielberthGebaeude.1.64;469.00;1365.00;0.221;0.063;-0.007;0.973;0.000
1583771876030;VielberthGebaeude.1.64;469.00;1365.00;0.211;0.073;-0.011;0.975;0.000
1583771876050;VielberthGebaeude.1.64;469.00;1365.00;0.207;0.073;-0.011;0.976;0.000
1583771876070;VielberthGebaeude.1.64;469.00;1365.00;0.213;0.067;-0.009;0.975;0.000
1583771876090;VielberthGebaeude.1.64;469.00;1365.00;0.213;0.063;-0.007;0.975;0.000
1583771876111;VielberthGebaeude.1.64;469.00;1365.00;0.202;0.060;-0.006;0.978;0.000
1583771876130;VielberthGebaeude.1.64;469.00;1365.00;0.203;0.048;-0.002;0.978;0.000
1583771876151;VielberthGebaeude.1.64;469.00;1365.00;0.202;0.039;0.001;0.979;0.000
1583771876171;VielberthGebaeude.1.64;469.00;1365.00;0.201;0.042;0.002;0.979;0.000
1583771876191;VielberthGebaeude.1.64;469.00;1365.00;0.200;0.046;0.003;0.979;0.000
1583771876211;VielberthGebaeude.1.64;469.00;1365.00;0.216;0.037;0.008;0.976;0.000
1583771876231;VielberthGebaeude.1.64;469.00;1365.00;0.239;0.029;0.014;0.970;0.000
1583771876251;VielberthGebaeude.1.64;469.00;1365.00;0.241;0.043;0.013;0.969;0.000
1583771876271;VielberthGebaeude.1.64;469.00;1365.00;0.216;0.042;0.014;0.975;0.000
1583771876292;VielberthGebaeude.1.64;469.00;1365.00;0.206;0.026;0.018;0.978;0.000
1583771876312;VielberthGebaeude.1.64;469.00;1365.00;0.192;0.026;0.018;0.981;0.000
1583771876332;VielberthGebaeude.1.64;469.00;1365.00;0.191;0.011;0.021;0.981;0.000
1583771876352;VielberthGebaeude.1.64;469.00;1365.00;0.188;0.007;0.022;0.982;0.000
1583771876372;VielberthGebaeude.1.64;469.00;1365.00;0.200;0.021;0.019;0.979;0.000
1583771876392;VielberthGebaeude.1.64;469.00;1365.00;0.197;0.022;0.019;0.980;0.000
