timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1582890436360;VielberthGebaeude.1.47;2053.00;1360.00;0.171;0.012;0.000;0.985;0.000
1582890436380;VielberthGebaeude.1.47;2053.00;1360.00;0.171;0.012;0.000;0.985;0.000
1582890436400;VielberthGebaeude.1.47;2053.00;1360.00;0.083;-0.056;0.011;0.995;0.000
1582890436421;VielberthGebaeude.1.47;2053.00;1360.00;0.093;-0.074;0.012;0.993;0.000
1582890436440;VielberthGebaeude.1.47;2053.00;1360.00;0.111;-0.074;0.010;0.991;0.000
1582890436460;VielberthGebaeude.1.47;2053.00;1360.00;0.158;-0.077;0.007;0.984;0.000
1582890436480;VielberthGebaeude.1.47;2053.00;1360.00;0.197;-0.080;0.004;0.977;0.000
1582890436501;VielberthGebaeude.1.47;2053.00;1360.00;0.189;-0.068;0.003;0.980;0.000
1582890436532;VielberthGebaeude.1.47;2053.00;1360.00;0.002;-0.138;-0.986;0.097;0.000
1582890436539;VielberthGebaeude.1.47;2053.00;1360.00;0.022;-0.108;-0.988;0.107;0.000
1582890436546;VielberthGebaeude.1.47;2053.00;1360.00;0.026;-0.092;-0.990;0.106;0.000
1582890436557;VielberthGebaeude.1.47;2053.00;1360.00;0.028;-0.078;-0.990;0.111;0.000
1582890436567;VielberthGebaeude.1.47;2053.00;1360.00;0.024;-0.077;-0.990;0.111;0.000
1582890436577;VielberthGebaeude.1.47;2053.00;1360.00;0.021;-0.083;-0.991;0.107;0.000
1582890436587;VielberthGebaeude.1.47;2053.00;1360.00;0.024;-0.094;-0.989;0.107;0.000
1582890436597;VielberthGebaeude.1.47;2053.00;1360.00;0.032;-0.113;-0.988;0.105;0.000
1582890436606;VielberthGebaeude.1.47;2053.00;1360.00;0.035;-0.137;-0.984;0.105;0.000
1582890436617;VielberthGebaeude.1.47;2053.00;1360.00;0.039;-0.155;-0.981;0.110;0.000
1582890436626;VielberthGebaeude.1.47;2053.00;1360.00;0.047;-0.167;-0.979;0.106;0.000
1582890436637;VielberthGebaeude.1.47;2053.00;1360.00;0.048;-0.165;-0.979;0.112;0.000
1582890436647;VielberthGebaeude.1.47;2053.00;1360.00;0.040;-0.163;-0.980;0.110;0.000
1582890436657;VielberthGebaeude.1.47;2053.00;1360.00;0.031;-0.163;-0.980;0.112;0.000
1582890436666;VielberthGebaeude.1.47;2053.00;1360.00;0.018;-0.159;-0.981;0.111;0.000
1582890436676;VielberthGebaeude.1.47;2053.00;1360.00;0.009;-0.156;-0.982;0.106;0.000
1582890436687;VielberthGebaeude.1.47;2053.00;1360.00;0.009;-0.147;-0.984;0.103;0.000
1582890436696;VielberthGebaeude.1.47;2053.00;1360.00;0.016;-0.133;-0.986;0.097;0.000
1582890436706;VielberthGebaeude.1.47;2053.00;1360.00;0.029;-0.112;-0.989;0.092;0.000
1582890436716;VielberthGebaeude.1.47;2053.00;1360.00;0.038;-0.102;-0.989;0.101;0.000
1582890436726;VielberthGebaeude.1.47;2053.00;1360.00;0.051;-0.088;-0.990;0.096;0.000
1582890436737;VielberthGebaeude.1.47;2053.00;1360.00;0.058;-0.089;-0.989;0.103;0.000
1582890436746;VielberthGebaeude.1.47;2053.00;1360.00;0.056;-0.102;-0.988;0.101;0.000
1582890436756;VielberthGebaeude.1.47;2053.00;1360.00;0.056;-0.118;-0.986;0.107;0.000
1582890436766;VielberthGebaeude.1.47;2053.00;1360.00;0.043;-0.142;-0.983;0.107;0.000
1582890436776;VielberthGebaeude.1.47;2053.00;1360.00;0.032;-0.150;-0.982;0.109;0.000
1582890436787;VielberthGebaeude.1.47;2053.00;1360.00;0.024;-0.154;-0.982;0.108;0.000
1582890436796;VielberthGebaeude.1.47;2053.00;1360.00;0.020;-0.146;-0.984;0.102;0.000
1582890436806;VielberthGebaeude.1.47;2053.00;1360.00;0.004;-0.141;-0.985;0.101;0.000
1582890436816;VielberthGebaeude.1.47;2053.00;1360.00;-0.014;-0.140;-0.985;0.101;0.000
1582890436826;VielberthGebaeude.1.47;2053.00;1360.00;-0.019;-0.147;-0.984;0.099;0.000
1582890436836;VielberthGebaeude.1.47;2053.00;1360.00;-0.003;-0.144;-0.985;0.093;0.000
1582890436847;VielberthGebaeude.1.47;2053.00;1360.00;-0.001;-0.146;-0.985;0.091;0.000
1582890436856;VielberthGebaeude.1.47;2053.00;1360.00;-0.012;-0.152;-0.983;0.103;0.000
1582890436866;VielberthGebaeude.1.47;2053.00;1360.00;-0.029;-0.162;-0.981;0.103;0.000
1582890436876;VielberthGebaeude.1.47;2053.00;1360.00;-0.032;-0.159;-0.982;0.094;0.000
1582890436886;VielberthGebaeude.1.47;2053.00;1360.00;-0.017;-0.140;-0.986;0.088;0.000
1582890436896;VielberthGebaeude.1.47;2053.00;1360.00;-0.000;-0.116;-0.989;0.093;0.000
1582890436907;VielberthGebaeude.1.47;2053.00;1360.00;-0.005;-0.076;-0.993;0.088;0.000
1582890436916;VielberthGebaeude.1.47;2053.00;1360.00;0.003;-0.039;-0.995;0.092;0.000
1582890436926;VielberthGebaeude.1.47;2053.00;1360.00;0.005;-0.005;-0.996;0.087;0.000
1582890436936;VielberthGebaeude.1.47;2053.00;1360.00;-0.007;0.009;-0.995;0.095;0.000
1582890436946;VielberthGebaeude.1.47;2053.00;1360.00;-0.006;0.014;-0.996;0.091;0.000
1582890436956;VielberthGebaeude.1.47;2053.00;1360.00;0.013;0.015;-0.995;0.095;0.000
1582890436966;VielberthGebaeude.1.47;2053.00;1360.00;0.036;-0.002;-0.995;0.092;0.000
