timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1582889516175;VielberthGebaeude.1.61;1126.00;825.00;0.228;0.009;0.000;0.974;0.000
1582889516195;VielberthGebaeude.1.61;1126.00;825.00;0.228;0.009;0.000;0.974;0.000
1582889516215;VielberthGebaeude.1.61;1126.00;825.00;0.247;0.034;-0.006;0.968;0.000
1582889516235;VielberthGebaeude.1.61;1126.00;825.00;0.241;0.024;-0.003;0.970;0.000
1582889516254;VielberthGebaeude.1.61;1126.00;825.00;0.231;0.006;0.001;0.973;0.000
1582889516275;VielberthGebaeude.1.61;1126.00;825.00;0.228;0.003;0.002;0.974;0.000
1582889516323;VielberthGebaeude.1.61;1126.00;825.00;0.187;0.040;-0.007;0.981;0.000
1582889516331;VielberthGebaeude.1.61;1126.00;825.00;0.089;-0.163;-0.944;0.273;0.000
1582889516341;VielberthGebaeude.1.61;1126.00;825.00;0.082;-0.169;-0.943;0.275;0.000
1582889516352;VielberthGebaeude.1.61;1126.00;825.00;0.080;-0.175;-0.943;0.273;0.000
1582889516363;VielberthGebaeude.1.61;1126.00;825.00;0.075;-0.182;-0.941;0.274;0.000
1582889516371;VielberthGebaeude.1.61;1126.00;825.00;0.070;-0.188;-0.941;0.274;0.000
1582889516381;VielberthGebaeude.1.61;1126.00;825.00;0.074;-0.189;-0.940;0.273;0.000
1582889516391;VielberthGebaeude.1.61;1126.00;825.00;0.082;-0.188;-0.940;0.271;0.000
1582889516402;VielberthGebaeude.1.61;1126.00;825.00;0.085;-0.193;-0.939;0.270;0.000
1582889516411;VielberthGebaeude.1.61;1126.00;825.00;0.089;-0.201;-0.936;0.275;0.000
1582889516422;VielberthGebaeude.1.61;1126.00;825.00;0.089;-0.205;-0.935;0.275;0.000
1582889516431;VielberthGebaeude.1.61;1126.00;825.00;0.089;-0.202;-0.935;0.277;0.000
1582889516441;VielberthGebaeude.1.61;1126.00;825.00;0.087;-0.190;-0.937;0.278;0.000
1582889516451;VielberthGebaeude.1.61;1126.00;825.00;0.078;-0.185;-0.940;0.275;0.000
1582889516462;VielberthGebaeude.1.61;1126.00;825.00;0.063;-0.183;-0.941;0.278;0.000
1582889516472;VielberthGebaeude.1.61;1126.00;825.00;0.054;-0.183;-0.946;0.263;0.000
1582889516482;VielberthGebaeude.1.61;1126.00;825.00;0.054;-0.181;-0.946;0.263;0.000
1582889516492;VielberthGebaeude.1.61;1126.00;825.00;0.052;-0.180;-0.946;0.263;0.000
1582889516502;VielberthGebaeude.1.61;1126.00;825.00;0.057;-0.186;-0.945;0.262;0.000
1582889516512;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.190;-0.944;0.263;0.000
1582889516523;VielberthGebaeude.1.61;1126.00;825.00;0.067;-0.194;-0.943;0.263;0.000
1582889516533;VielberthGebaeude.1.61;1126.00;825.00;0.071;-0.189;-0.941;0.272;0.000
1582889516543;VielberthGebaeude.1.61;1126.00;825.00;0.072;-0.180;-0.943;0.271;0.000
1582889516553;VielberthGebaeude.1.61;1126.00;825.00;0.073;-0.172;-0.944;0.273;0.000
1582889516563;VielberthGebaeude.1.61;1126.00;825.00;0.071;-0.173;-0.943;0.274;0.000
1582889516573;VielberthGebaeude.1.61;1126.00;825.00;0.069;-0.179;-0.943;0.273;0.000
1582889516584;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.187;-0.941;0.274;0.000
1582889516595;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.192;-0.939;0.276;0.000
1582889516604;VielberthGebaeude.1.61;1126.00;825.00;0.062;-0.194;-0.939;0.277;0.000
1582889516614;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.191;-0.939;0.278;0.000
1582889516624;VielberthGebaeude.1.61;1126.00;825.00;0.073;-0.175;-0.942;0.277;0.000
1582889516634;VielberthGebaeude.1.61;1126.00;825.00;0.076;-0.166;-0.943;0.278;0.000
1582889516644;VielberthGebaeude.1.61;1126.00;825.00;0.072;-0.164;-0.943;0.279;0.000
1582889516654;VielberthGebaeude.1.61;1126.00;825.00;0.067;-0.165;-0.946;0.272;0.000
1582889516665;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.167;-0.945;0.272;0.000
1582889516675;VielberthGebaeude.1.61;1126.00;825.00;0.069;-0.168;-0.945;0.272;0.000
1582889516685;VielberthGebaeude.1.61;1126.00;825.00;0.070;-0.168;-0.945;0.273;0.000
1582889516695;VielberthGebaeude.1.61;1126.00;825.00;0.074;-0.167;-0.946;0.267;0.000
1582889516705;VielberthGebaeude.1.61;1126.00;825.00;0.071;-0.152;-0.949;0.267;0.000
1582889516715;VielberthGebaeude.1.61;1126.00;825.00;0.062;-0.143;-0.951;0.266;0.000
1582889516725;VielberthGebaeude.1.61;1126.00;825.00;0.045;-0.141;-0.952;0.269;0.000
1582889516735;VielberthGebaeude.1.61;1126.00;825.00;0.041;-0.145;-0.954;0.257;0.000
1582889516745;VielberthGebaeude.1.61;1126.00;825.00;0.047;-0.154;-0.953;0.257;0.000
1582889516755;VielberthGebaeude.1.61;1126.00;825.00;0.059;-0.163;-0.952;0.254;0.000
1582889516765;VielberthGebaeude.1.61;1126.00;825.00;0.071;-0.173;-0.950;0.252;0.000
1582889516775;VielberthGebaeude.1.61;1126.00;825.00;0.080;-0.173;-0.943;0.272;0.000
1582889516785;VielberthGebaeude.1.61;1126.00;825.00;0.080;-0.163;-0.945;0.272;0.000
1582889516795;VielberthGebaeude.1.61;1126.00;825.00;0.075;-0.155;-0.947;0.272;0.000
1582889516807;VielberthGebaeude.1.61;1126.00;825.00;0.067;-0.148;-0.948;0.273;0.000
1582889516817;VielberthGebaeude.1.61;1126.00;825.00;0.060;-0.151;-0.950;0.268;0.000
1582889516827;VielberthGebaeude.1.61;1126.00;825.00;0.057;-0.152;-0.949;0.269;0.000
1582889516837;VielberthGebaeude.1.61;1126.00;825.00;0.059;-0.150;-0.950;0.266;0.000
1582889516847;VielberthGebaeude.1.61;1126.00;825.00;0.064;-0.144;-0.951;0.265;0.000
1582889516856;VielberthGebaeude.1.61;1126.00;825.00;0.062;-0.142;-0.951;0.268;0.000
1582889516866;VielberthGebaeude.1.61;1126.00;825.00;0.057;-0.141;-0.951;0.269;0.000
1582889516876;VielberthGebaeude.1.61;1126.00;825.00;0.057;-0.140;-0.952;0.267;0.000
1582889516887;VielberthGebaeude.1.61;1126.00;825.00;0.053;-0.145;-0.951;0.268;0.000
1582889516896;VielberthGebaeude.1.61;1126.00;825.00;0.053;-0.145;-0.951;0.268;0.000
1582889516907;VielberthGebaeude.1.61;1126.00;825.00;0.057;-0.143;-0.951;0.267;0.000
1582889516916;VielberthGebaeude.1.61;1126.00;825.00;0.060;-0.141;-0.950;0.272;0.000
1582889516927;VielberthGebaeude.1.61;1126.00;825.00;0.063;-0.138;-0.951;0.271;0.000
1582889516937;VielberthGebaeude.1.61;1126.00;825.00;0.067;-0.138;-0.951;0.270;0.000
1582889516947;VielberthGebaeude.1.61;1126.00;825.00;0.069;-0.143;-0.950;0.270;0.000
1582889516957;VielberthGebaeude.1.61;1126.00;825.00;0.071;-0.150;-0.948;0.273;0.000
1582889516967;VielberthGebaeude.1.61;1126.00;825.00;0.069;-0.154;-0.947;0.273;0.000
1582889516977;VielberthGebaeude.1.61;1126.00;825.00;0.064;-0.159;-0.946;0.275;0.000
1582889516987;VielberthGebaeude.1.61;1126.00;825.00;0.059;-0.159;-0.946;0.276;0.000
1582889516998;VielberthGebaeude.1.61;1126.00;825.00;0.061;-0.150;-0.950;0.268;0.000
1582889517008;VielberthGebaeude.1.61;1126.00;825.00;0.064;-0.142;-0.951;0.267;0.000
1582889517018;VielberthGebaeude.1.61;1126.00;825.00;0.068;-0.138;-0.951;0.269;0.000
1582889517028;VielberthGebaeude.1.61;1126.00;825.00;0.071;-0.136;-0.951;0.269;0.000
1582889517039;VielberthGebaeude.1.61;1126.00;825.00;0.071;-0.139;-0.950;0.271;0.000
1582889517049;VielberthGebaeude.1.61;1126.00;825.00;0.063;-0.145;-0.949;0.273;0.000
1582889517059;VielberthGebaeude.1.61;1126.00;825.00;0.059;-0.145;-0.950;0.271;0.000
1582889517069;VielberthGebaeude.1.61;1126.00;825.00;0.058;-0.142;-0.950;0.272;0.000
1582889517079;VielberthGebaeude.1.61;1126.00;825.00;0.055;-0.146;-0.951;0.267;0.000
1582889517089;VielberthGebaeude.1.61;1126.00;825.00;0.057;-0.146;-0.951;0.267;0.000
1582889517100;VielberthGebaeude.1.61;1126.00;825.00;0.054;-0.149;-0.951;0.265;0.000
1582889517110;VielberthGebaeude.1.61;1126.00;825.00;0.055;-0.151;-0.951;0.265;0.000
1582889517121;VielberthGebaeude.1.61;1126.00;825.00;0.057;-0.153;-0.950;0.265;0.000
1582889517131;VielberthGebaeude.1.61;1126.00;825.00;0.059;-0.158;-0.949;0.265;0.000
1582889517142;VielberthGebaeude.1.61;1126.00;825.00;0.064;-0.155;-0.950;0.264;0.000
1582889517153;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.147;-0.951;0.263;0.000
1582889517162;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.145;-0.951;0.266;0.000
1582889517172;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.145;-0.951;0.266;0.000
1582889517182;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.145;-0.951;0.265;0.000
1582889517192;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.144;-0.951;0.265;0.000
1582889517202;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.144;-0.952;0.263;0.000
1582889517213;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.144;-0.952;0.263;0.000
1582889517222;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.144;-0.951;0.264;0.000
1582889517232;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.144;-0.951;0.264;0.000
1582889517242;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.144;-0.951;0.265;0.000
1582889517252;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.144;-0.951;0.265;0.000
1582889517262;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.144;-0.951;0.265;0.000
1582889517273;VielberthGebaeude.1.61;1126.00;825.00;0.065;-0.144;-0.951;0.266;0.000
1582889517283;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.144;-0.950;0.269;0.000
1582889517293;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.144;-0.950;0.269;0.000
1582889517303;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.144;-0.950;0.269;0.000
1582889517313;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.145;-0.950;0.269;0.000
1582889517324;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.145;-0.950;0.269;0.000
1582889517333;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.146;-0.950;0.269;0.000
1582889517343;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.146;-0.949;0.270;0.000
1582889517353;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.146;-0.949;0.270;0.000
1582889517363;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.147;-0.949;0.270;0.000
1582889517373;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.147;-0.949;0.270;0.000
1582889517383;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.147;-0.949;0.271;0.000
1582889517393;VielberthGebaeude.1.61;1126.00;825.00;0.066;-0.148;-0.949;0.271;0.000
