timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1582870554497;othgalgenberg.1.141;847.00;669.00;0.531;0.059;0.000;0.846;0.000
1582870554517;othgalgenberg.1.141;847.00;669.00;0.531;0.059;0.000;0.846;0.000
1582870554537;othgalgenberg.1.141;847.00;669.00;0.488;0.032;0.014;0.872;0.000
1582870554557;othgalgenberg.1.141;847.00;669.00;0.484;0.025;0.018;0.875;0.000
1582870554577;othgalgenberg.1.141;847.00;669.00;0.487;0.031;0.015;0.873;0.000
1582870554598;othgalgenberg.1.141;847.00;669.00;0.499;0.033;0.014;0.866;0.000
1582870554617;othgalgenberg.1.141;847.00;669.00;0.503;0.033;0.014;0.864;0.000
1582870554644;othgalgenberg.1.141;847.00;669.00;0.498;0.035;0.013;0.866;0.000
1582870554654;othgalgenberg.1.141;847.00;669.00;0.142;-0.481;-0.841;0.203;0.000
1582870554663;othgalgenberg.1.141;847.00;669.00;0.140;-0.482;-0.841;0.204;0.000
1582870554674;othgalgenberg.1.141;847.00;669.00;0.135;-0.482;-0.841;0.206;0.000
1582870554684;othgalgenberg.1.141;847.00;669.00;0.136;-0.483;-0.840;0.206;0.000
1582870554693;othgalgenberg.1.141;847.00;669.00;0.134;-0.480;-0.843;0.201;0.000
1582870554702;othgalgenberg.1.141;847.00;669.00;0.134;-0.476;-0.846;0.201;0.000
1582870554712;othgalgenberg.1.141;847.00;669.00;0.135;-0.475;-0.846;0.202;0.000
1582870554722;othgalgenberg.1.141;847.00;669.00;0.135;-0.477;-0.845;0.202;0.000
1582870554732;othgalgenberg.1.141;847.00;669.00;0.137;-0.478;-0.844;0.202;0.000
1582870554742;othgalgenberg.1.141;847.00;669.00;0.137;-0.477;-0.844;0.202;0.000
1582870554752;othgalgenberg.1.141;847.00;669.00;0.134;-0.475;-0.846;0.201;0.000
1582870554762;othgalgenberg.1.141;847.00;669.00;0.135;-0.471;-0.848;0.201;0.000
1582870554773;othgalgenberg.1.141;847.00;669.00;0.133;-0.469;-0.850;0.198;0.000
1582870554782;othgalgenberg.1.141;847.00;669.00;0.132;-0.472;-0.849;0.198;0.000
1582870554793;othgalgenberg.1.141;847.00;669.00;0.130;-0.475;-0.848;0.196;0.000
1582870554803;othgalgenberg.1.141;847.00;669.00;0.132;-0.476;-0.847;0.195;0.000
1582870554813;othgalgenberg.1.141;847.00;669.00;0.134;-0.476;-0.846;0.197;0.000
1582870554823;othgalgenberg.1.141;847.00;669.00;0.135;-0.476;-0.847;0.197;0.000
1582870554833;othgalgenberg.1.141;847.00;669.00;0.135;-0.474;-0.847;0.202;0.000
1582870554843;othgalgenberg.1.141;847.00;669.00;0.137;-0.475;-0.846;0.201;0.000
1582870554853;othgalgenberg.1.141;847.00;669.00;0.138;-0.478;-0.844;0.200;0.000
1582870554863;othgalgenberg.1.141;847.00;669.00;0.138;-0.479;-0.844;0.200;0.000
1582870554872;othgalgenberg.1.141;847.00;669.00;0.140;-0.478;-0.843;0.204;0.000
1582870554884;othgalgenberg.1.141;847.00;669.00;0.140;-0.474;-0.845;0.204;0.000
1582870554894;othgalgenberg.1.141;847.00;669.00;0.140;-0.473;-0.846;0.202;0.000
1582870554904;othgalgenberg.1.141;847.00;669.00;0.141;-0.473;-0.846;0.202;0.000
1582870554914;othgalgenberg.1.141;847.00;669.00;0.138;-0.475;-0.845;0.203;0.000
1582870554924;othgalgenberg.1.141;847.00;669.00;0.140;-0.476;-0.844;0.202;0.000
1582870554934;othgalgenberg.1.141;847.00;669.00;0.141;-0.475;-0.844;0.203;0.000
1582870554944;othgalgenberg.1.141;847.00;669.00;0.140;-0.476;-0.844;0.204;0.000
1582870554954;othgalgenberg.1.141;847.00;669.00;0.136;-0.478;-0.844;0.203;0.000
1582870554963;othgalgenberg.1.141;847.00;669.00;0.137;-0.478;-0.844;0.203;0.000
1582870554975;othgalgenberg.1.141;847.00;669.00;0.137;-0.477;-0.844;0.202;0.000
1582870554985;othgalgenberg.1.141;847.00;669.00;0.139;-0.473;-0.847;0.201;0.000
1582870554995;othgalgenberg.1.141;847.00;669.00;0.140;-0.472;-0.846;0.202;0.000
1582870555005;othgalgenberg.1.141;847.00;669.00;0.140;-0.476;-0.844;0.203;0.000
1582870555015;othgalgenberg.1.141;847.00;669.00;0.140;-0.477;-0.843;0.204;0.000
1582870555024;othgalgenberg.1.141;847.00;669.00;0.138;-0.479;-0.842;0.205;0.000
1582870555035;othgalgenberg.1.141;847.00;669.00;0.138;-0.478;-0.843;0.203;0.000
