timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583773420571;VielberthGebaeude.2.67;2012.00;923.00;0.224;0.058;0.000;0.973;0.000
1583773420591;VielberthGebaeude.2.67;2012.00;923.00;0.224;0.058;0.000;0.973;0.000
1583773420612;VielberthGebaeude.2.67;2012.00;923.00;0.236;0.027;0.008;0.971;0.000
1583773420632;VielberthGebaeude.2.67;2012.00;923.00;0.228;0.019;0.010;0.973;0.000
1583773420657;VielberthGebaeude.2.67;2012.00;923.00;0.241;0.010;0.012;0.970;0.000
1583773420667;VielberthGebaeude.2.67;2012.00;923.00;0.258;0.003;0.014;0.966;0.000
1583773420677;VielberthGebaeude.2.67;2012.00;923.00;0.264;0.005;0.013;0.964;0.000
1583773420687;VielberthGebaeude.2.67;2012.00;923.00;0.264;0.010;0.012;0.964;0.000
1583773420697;VielberthGebaeude.2.67;2012.00;923.00;0.254;0.027;0.007;0.967;0.000
1583773420707;VielberthGebaeude.2.67;2012.00;923.00;0.235;0.037;0.004;0.971;0.000
1583773420717;VielberthGebaeude.2.67;2012.00;923.00;0.211;0.040;0.003;0.977;0.000
1583773420727;VielberthGebaeude.2.67;2012.00;923.00;0.044;0.197;0.909;0.365;0.000
1583773420738;VielberthGebaeude.2.67;2012.00;923.00;0.051;0.186;0.912;0.363;0.000
1583773420747;VielberthGebaeude.2.67;2012.00;923.00;0.056;0.184;0.916;0.352;0.000
1583773420757;VielberthGebaeude.2.67;2012.00;923.00;0.073;0.190;0.915;0.349;0.000
1583773420767;VielberthGebaeude.2.67;2012.00;923.00;0.094;0.197;0.905;0.364;0.000
1583773420777;VielberthGebaeude.2.67;2012.00;923.00;0.091;0.205;0.904;0.365;0.000
1583773420787;VielberthGebaeude.2.67;2012.00;923.00;0.082;0.204;0.897;0.383;0.000
1583773420797;VielberthGebaeude.2.67;2012.00;923.00;0.071;0.197;0.899;0.386;0.000
1583773420807;VielberthGebaeude.2.67;2012.00;923.00;0.058;0.192;0.914;0.353;0.000
1583773420817;VielberthGebaeude.2.67;2012.00;923.00;0.054;0.183;0.916;0.353;0.000
1583773420827;VielberthGebaeude.2.67;2012.00;923.00;0.053;0.176;0.928;0.325;0.000
