timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583773641149;VielberthGebaeude.2.68;2105.00;907.00;0.233;0.028;0.000;0.972;0.000
1583773641169;VielberthGebaeude.2.68;2105.00;907.00;0.233;0.028;0.000;0.972;0.000
1583773641189;VielberthGebaeude.2.68;2105.00;907.00;0.233;0.028;0.000;0.972;0.000
1583773641211;VielberthGebaeude.2.68;2105.00;907.00;0.207;0.034;-0.002;0.978;0.000
1583773641220;VielberthGebaeude.2.68;2105.00;907.00;0.207;0.034;-0.002;0.978;0.000
1583773641240;VielberthGebaeude.2.68;2105.00;907.00;0.211;0.035;-0.002;0.977;0.000
1583773641257;VielberthGebaeude.2.68;2105.00;907.00;0.214;0.040;-0.003;0.976;0.000
1583773641277;VielberthGebaeude.2.68;2105.00;907.00;0.234;0.034;-0.001;0.972;0.000
1583773641285;VielberthGebaeude.2.68;2105.00;907.00;0.238;0.031;-0.000;0.971;0.000
1583773641294;VielberthGebaeude.2.68;2105.00;907.00;0.240;0.025;0.001;0.970;0.000
1583773641304;VielberthGebaeude.2.68;2105.00;907.00;0.242;0.023;0.002;0.970;0.000
1583773641314;VielberthGebaeude.2.68;2105.00;907.00;0.243;0.023;0.002;0.970;0.000
1583773641324;VielberthGebaeude.2.68;2105.00;907.00;0.136;0.197;0.735;0.635;0.000
1583773641334;VielberthGebaeude.2.68;2105.00;907.00;0.135;0.192;0.736;0.635;0.000
1583773641344;VielberthGebaeude.2.68;2105.00;907.00;0.134;0.194;0.754;0.613;0.000
1583773641354;VielberthGebaeude.2.68;2105.00;907.00;0.135;0.195;0.753;0.613;0.000
1583773641364;VielberthGebaeude.2.68;2105.00;907.00;0.135;0.194;0.752;0.615;0.000
1583773641374;VielberthGebaeude.2.68;2105.00;907.00;0.132;0.194;0.752;0.616;0.000
1583773641384;VielberthGebaeude.2.68;2105.00;907.00;0.129;0.199;0.758;0.607;0.000
1583773641395;VielberthGebaeude.2.68;2105.00;907.00;0.129;0.201;0.758;0.607;0.000
1583773641405;VielberthGebaeude.2.68;2105.00;907.00;0.126;0.200;0.751;0.616;0.000
1583773641415;VielberthGebaeude.2.68;2105.00;907.00;0.124;0.197;0.752;0.617;0.000
1583773641425;VielberthGebaeude.2.68;2105.00;907.00;0.128;0.197;0.761;0.605;0.000
1583773641435;VielberthGebaeude.2.68;2105.00;907.00;0.135;0.196;0.760;0.604;0.000
1583773641445;VielberthGebaeude.2.68;2105.00;907.00;0.137;0.193;0.738;0.632;0.000
1583773641456;VielberthGebaeude.2.68;2105.00;907.00;0.132;0.195;0.736;0.634;0.000
1583773641465;VielberthGebaeude.2.68;2105.00;907.00;0.128;0.194;0.746;0.624;0.000
1583773641475;VielberthGebaeude.2.68;2105.00;907.00;0.129;0.193;0.746;0.625;0.000
1583773641485;VielberthGebaeude.2.68;2105.00;907.00;0.125;0.193;0.755;0.614;0.000
1583773641495;VielberthGebaeude.2.68;2105.00;907.00;0.121;0.194;0.754;0.616;0.000
1583773641505;VielberthGebaeude.2.68;2105.00;907.00;0.117;0.200;0.763;0.604;0.000
1583773641515;VielberthGebaeude.2.68;2105.00;907.00;0.120;0.208;0.760;0.604;0.000
1583773641525;VielberthGebaeude.2.68;2105.00;907.00;0.124;0.211;0.746;0.619;0.000
1583773641535;VielberthGebaeude.2.68;2105.00;907.00;0.120;0.221;0.742;0.621;0.000
1583773641545;VielberthGebaeude.2.68;2105.00;907.00;0.122;0.221;0.727;0.638;0.000
1583773641555;VielberthGebaeude.2.68;2105.00;907.00;0.119;0.218;0.727;0.640;0.000
1583773641565;VielberthGebaeude.2.68;2105.00;907.00;0.111;0.213;0.737;0.632;0.000
1583773641575;VielberthGebaeude.2.68;2105.00;907.00;0.110;0.207;0.737;0.633;0.000
1583773641585;VielberthGebaeude.2.68;2105.00;907.00;0.110;0.208;0.754;0.613;0.000
1583773641595;VielberthGebaeude.2.68;2105.00;907.00;0.114;0.209;0.754;0.612;0.000
1583773641605;VielberthGebaeude.2.68;2105.00;907.00;0.119;0.206;0.738;0.631;0.000
1583773641615;VielberthGebaeude.2.68;2105.00;907.00;0.122;0.206;0.738;0.631;0.000
1583773641625;VielberthGebaeude.2.68;2105.00;907.00;0.132;0.204;0.723;0.647;0.000
1583773641635;VielberthGebaeude.2.68;2105.00;907.00;0.127;0.206;0.722;0.648;0.000
1583773641645;VielberthGebaeude.2.68;2105.00;907.00;0.123;0.209;0.716;0.655;0.000
1583773641655;VielberthGebaeude.2.68;2105.00;907.00;0.119;0.211;0.715;0.656;0.000
1583773641665;VielberthGebaeude.2.68;2105.00;907.00;0.112;0.213;0.719;0.652;0.000
1583773641675;VielberthGebaeude.2.68;2105.00;907.00;0.107;0.214;0.719;0.653;0.000
1583773641686;VielberthGebaeude.2.68;2105.00;907.00;0.111;0.215;0.726;0.643;0.000
1583773641696;VielberthGebaeude.2.68;2105.00;907.00;0.120;0.215;0.727;0.641;0.000
1583773641706;VielberthGebaeude.2.68;2105.00;907.00;0.130;0.212;0.712;0.657;0.000
1583773641716;VielberthGebaeude.2.68;2105.00;907.00;0.129;0.211;0.712;0.657;0.000
1583773641726;VielberthGebaeude.2.68;2105.00;907.00;0.134;0.207;0.706;0.664;0.000
1583773641736;VielberthGebaeude.2.68;2105.00;907.00;0.133;0.205;0.707;0.664;0.000
1583773641746;VielberthGebaeude.2.68;2105.00;907.00;0.131;0.205;0.710;0.661;0.000
1583773641756;VielberthGebaeude.2.68;2105.00;907.00;0.125;0.210;0.709;0.661;0.000
1583773641766;VielberthGebaeude.2.68;2105.00;907.00;0.120;0.215;0.712;0.658;0.000
1583773641776;VielberthGebaeude.2.68;2105.00;907.00;0.114;0.220;0.711;0.658;0.000
1583773641786;VielberthGebaeude.2.68;2105.00;907.00;0.108;0.221;0.712;0.658;0.000
1583773641796;VielberthGebaeude.2.68;2105.00;907.00;0.103;0.219;0.713;0.658;0.000
1583773641806;VielberthGebaeude.2.68;2105.00;907.00;0.097;0.221;0.729;0.640;0.000
1583773641816;VielberthGebaeude.2.68;2105.00;907.00;0.098;0.221;0.730;0.639;0.000
1583773641826;VielberthGebaeude.2.68;2105.00;907.00;0.094;0.223;0.725;0.645;0.000
1583773641836;VielberthGebaeude.2.68;2105.00;907.00;0.087;0.223;0.726;0.645;0.000
1583773641846;VielberthGebaeude.2.68;2105.00;907.00;0.084;0.225;0.749;0.617;0.000
1583773641856;VielberthGebaeude.2.68;2105.00;907.00;0.094;0.225;0.752;0.613;0.000
1583773641866;VielberthGebaeude.2.68;2105.00;907.00;0.112;0.222;0.731;0.635;0.000
1583773641876;VielberthGebaeude.2.68;2105.00;907.00;0.116;0.226;0.732;0.632;0.000
1583773641887;VielberthGebaeude.2.68;2105.00;907.00;0.127;0.222;0.705;0.661;0.000
1583773641896;VielberthGebaeude.2.68;2105.00;907.00;0.125;0.221;0.707;0.660;0.000
1583773641906;VielberthGebaeude.2.68;2105.00;907.00;0.111;0.224;0.713;0.655;0.000
1583773641916;VielberthGebaeude.2.68;2105.00;907.00;0.097;0.223;0.714;0.656;0.000
1583773641926;VielberthGebaeude.2.68;2105.00;907.00;0.079;0.223;0.753;0.614;0.000
1583773641936;VielberthGebaeude.2.68;2105.00;907.00;0.077;0.217;0.756;0.612;0.000
1583773641946;VielberthGebaeude.2.68;2105.00;907.00;0.069;0.209;0.776;0.591;0.000
1583773641957;VielberthGebaeude.2.68;2105.00;907.00;0.060;0.200;0.779;0.591;0.000
1583773641967;VielberthGebaeude.2.68;2105.00;907.00;0.046;0.192;0.814;0.546;0.000
1583773641977;VielberthGebaeude.2.68;2105.00;907.00;0.035;0.185;0.817;0.545;0.000
1583773641987;VielberthGebaeude.2.68;2105.00;907.00;0.015;0.183;0.840;0.511;0.000
1583773641997;VielberthGebaeude.2.68;2105.00;907.00;0.002;0.181;0.841;0.510;0.000
1583773642007;VielberthGebaeude.2.68;2105.00;907.00;-0.013;0.179;0.871;0.458;0.000
1583773642017;VielberthGebaeude.2.68;2105.00;907.00;-0.006;0.181;0.873;0.453;0.000
1583773642027;VielberthGebaeude.2.68;2105.00;907.00;0.010;0.190;0.864;0.466;0.000
1583773642037;VielberthGebaeude.2.68;2105.00;907.00;0.022;0.207;0.864;0.458;0.000
1583773642047;VielberthGebaeude.2.68;2105.00;907.00;0.053;0.215;0.812;0.540;0.000
1583773642057;VielberthGebaeude.2.68;2105.00;907.00;0.063;0.230;0.812;0.533;0.000
1583773642067;VielberthGebaeude.2.68;2105.00;907.00;0.089;0.236;0.764;0.594;0.000
1583773642077;VielberthGebaeude.2.68;2105.00;907.00;0.086;0.243;0.764;0.591;0.000
1583773642087;VielberthGebaeude.2.68;2105.00;907.00;0.099;0.239;0.735;0.627;0.000
1583773642097;VielberthGebaeude.2.68;2105.00;907.00;0.100;0.241;0.737;0.624;0.000
1583773642107;VielberthGebaeude.2.68;2105.00;907.00;0.101;0.241;0.737;0.623;0.000
1583773642117;VielberthGebaeude.2.68;2105.00;907.00;0.102;0.229;0.743;0.621;0.000
1583773642127;VielberthGebaeude.2.68;2105.00;907.00;0.092;0.215;0.762;0.604;0.000
1583773642137;VielberthGebaeude.2.68;2105.00;907.00;0.071;0.197;0.766;0.608;0.000
1583773642147;VielberthGebaeude.2.68;2105.00;907.00;0.048;0.203;0.826;0.523;0.000
1583773642157;VielberthGebaeude.2.68;2105.00;907.00;0.046;0.203;0.828;0.521;0.000
1583773642167;VielberthGebaeude.2.68;2105.00;907.00;0.040;0.203;0.836;0.507;0.000
1583773642177;VielberthGebaeude.2.68;2105.00;907.00;0.038;0.203;0.838;0.505;0.000
1583773642187;VielberthGebaeude.2.68;2105.00;907.00;0.032;0.203;0.846;0.492;0.000
1583773642198;VielberthGebaeude.2.68;2105.00;907.00;0.030;0.203;0.848;0.489;0.000
1583773642208;VielberthGebaeude.2.68;2105.00;907.00;0.027;0.204;0.852;0.482;0.000
1583773642218;VielberthGebaeude.2.68;2105.00;907.00;0.024;0.204;0.854;0.478;0.000
1583773642229;VielberthGebaeude.2.68;2105.00;907.00;0.023;0.204;0.853;0.480;0.000
1583773642239;VielberthGebaeude.2.68;2105.00;907.00;0.021;0.205;0.855;0.477;0.000
1583773642249;VielberthGebaeude.2.68;2105.00;907.00;0.021;0.205;0.853;0.480;0.000
1583773642259;VielberthGebaeude.2.68;2105.00;907.00;0.018;0.205;0.855;0.476;0.000
1583773642269;VielberthGebaeude.2.68;2105.00;907.00;0.016;0.206;0.856;0.473;0.000
1583773642279;VielberthGebaeude.2.68;2105.00;907.00;0.014;0.206;0.858;0.470;0.000
1583773642289;VielberthGebaeude.2.68;2105.00;907.00;0.010;0.206;0.862;0.464;0.000
1583773642300;VielberthGebaeude.2.68;2105.00;907.00;0.007;0.206;0.863;0.460;0.000
1583773642309;VielberthGebaeude.2.68;2105.00;907.00;0.005;0.206;0.864;0.459;0.000
1583773642319;VielberthGebaeude.2.68;2105.00;907.00;0.002;0.206;0.866;0.455;0.000
1583773642329;VielberthGebaeude.2.68;2105.00;907.00;-0.001;0.206;0.869;0.450;0.000
1583773642339;VielberthGebaeude.2.68;2105.00;907.00;-0.003;0.206;0.871;0.447;0.000
1583773642349;VielberthGebaeude.2.68;2105.00;907.00;-0.006;0.206;0.872;0.444;0.000
1583773642359;VielberthGebaeude.2.68;2105.00;907.00;-0.008;0.206;0.873;0.441;0.000
1583773642369;VielberthGebaeude.2.68;2105.00;907.00;-0.011;0.207;0.875;0.438;0.000
1583773642379;VielberthGebaeude.2.68;2105.00;907.00;-0.013;0.208;0.876;0.436;0.000
1583773642389;VielberthGebaeude.2.68;2105.00;907.00;-0.015;0.209;0.877;0.433;0.000
1583773642399;VielberthGebaeude.2.68;2105.00;907.00;-0.018;0.210;0.877;0.431;0.000
1583773642409;VielberthGebaeude.2.68;2105.00;907.00;-0.020;0.212;0.878;0.429;0.000
1583773642419;VielberthGebaeude.2.68;2105.00;907.00;-0.022;0.213;0.878;0.428;0.000
1583773642429;VielberthGebaeude.2.68;2105.00;907.00;-0.024;0.215;0.879;0.426;0.000
1583773642439;VielberthGebaeude.2.68;2105.00;907.00;-0.026;0.217;0.879;0.424;0.000
1583773642449;VielberthGebaeude.2.68;2105.00;907.00;-0.029;0.218;0.879;0.423;0.000
1583773642459;VielberthGebaeude.2.68;2105.00;907.00;-0.032;0.218;0.880;0.421;0.000
1583773642469;VielberthGebaeude.2.68;2105.00;907.00;-0.035;0.218;0.880;0.420;0.000
1583773642479;VielberthGebaeude.2.68;2105.00;907.00;-0.038;0.218;0.881;0.419;0.000
1583773642489;VielberthGebaeude.2.68;2105.00;907.00;-0.042;0.217;0.882;0.417;0.000
1583773642500;VielberthGebaeude.2.68;2105.00;907.00;-0.046;0.215;0.883;0.416;0.000
1583773642510;VielberthGebaeude.2.68;2105.00;907.00;-0.050;0.213;0.884;0.413;0.000
1583773642520;VielberthGebaeude.2.68;2105.00;907.00;-0.053;0.212;0.885;0.412;0.000
1583773642531;VielberthGebaeude.2.68;2105.00;907.00;-0.057;0.210;0.886;0.409;0.000
1583773642541;VielberthGebaeude.2.68;2105.00;907.00;-0.059;0.209;0.887;0.407;0.000
1583773642550;VielberthGebaeude.2.68;2105.00;907.00;-0.062;0.209;0.888;0.405;0.000
1583773642561;VielberthGebaeude.2.68;2105.00;907.00;-0.064;0.209;0.889;0.403;0.000
1583773642571;VielberthGebaeude.2.68;2105.00;907.00;-0.065;0.209;0.890;0.401;0.000
1583773642581;VielberthGebaeude.2.68;2105.00;907.00;-0.066;0.209;0.890;0.400;0.000
1583773642591;VielberthGebaeude.2.68;2105.00;907.00;-0.068;0.210;0.890;0.398;0.000
1583773642602;VielberthGebaeude.2.68;2105.00;907.00;-0.069;0.211;0.891;0.397;0.000
1583773642612;VielberthGebaeude.2.68;2105.00;907.00;-0.070;0.212;0.891;0.396;0.000
1583773642622;VielberthGebaeude.2.68;2105.00;907.00;-0.071;0.213;0.891;0.396;0.000
1583773642632;VielberthGebaeude.2.68;2105.00;907.00;-0.072;0.214;0.891;0.395;0.000
1583773642642;VielberthGebaeude.2.68;2105.00;907.00;-0.073;0.215;0.890;0.395;0.000
1583773642652;VielberthGebaeude.2.68;2105.00;907.00;-0.074;0.216;0.890;0.394;0.000
1583773642662;VielberthGebaeude.2.68;2105.00;907.00;-0.074;0.217;0.890;0.395;0.000
1583773642672;VielberthGebaeude.2.68;2105.00;907.00;-0.075;0.219;0.889;0.394;0.000
1583773642682;VielberthGebaeude.2.68;2105.00;907.00;-0.075;0.221;0.889;0.395;0.000
1583773642692;VielberthGebaeude.2.68;2105.00;907.00;-0.075;0.223;0.888;0.394;0.000
1583773642702;VielberthGebaeude.2.68;2105.00;907.00;-0.076;0.224;0.888;0.394;0.000
1583773642712;VielberthGebaeude.2.68;2105.00;907.00;-0.076;0.225;0.888;0.394;0.000
1583773642722;VielberthGebaeude.2.68;2105.00;907.00;-0.077;0.225;0.888;0.394;0.000
1583773642732;VielberthGebaeude.2.68;2105.00;907.00;-0.079;0.225;0.888;0.394;0.000
1583773642742;VielberthGebaeude.2.68;2105.00;907.00;-0.080;0.224;0.888;0.394;0.000
1583773642752;VielberthGebaeude.2.68;2105.00;907.00;-0.082;0.223;0.888;0.393;0.000
1583773642762;VielberthGebaeude.2.68;2105.00;907.00;-0.084;0.221;0.888;0.393;0.000
1583773642772;VielberthGebaeude.2.68;2105.00;907.00;-0.086;0.220;0.889;0.392;0.000
1583773642782;VielberthGebaeude.2.68;2105.00;907.00;-0.087;0.220;0.889;0.392;0.000
1583773642792;VielberthGebaeude.2.68;2105.00;907.00;-0.089;0.219;0.890;0.390;0.000
