timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583774277833;VielberthGebaeude.3.23;1873.00;334.00;0.252;0.105;0.000;0.962;0.000
1583774277853;VielberthGebaeude.3.23;1873.00;334.00;0.252;0.105;0.000;0.962;0.000
1583774277874;VielberthGebaeude.3.23;1873.00;334.00;0.252;0.105;0.000;0.962;0.000
1583774277894;VielberthGebaeude.3.23;1873.00;334.00;0.253;0.134;-0.007;0.958;0.000
1583774277913;VielberthGebaeude.3.23;1873.00;334.00;0.247;0.126;-0.006;0.961;0.000
1583774277941;VielberthGebaeude.3.23;1873.00;334.00;0.233;0.114;-0.005;0.966;0.000
1583774277961;VielberthGebaeude.3.23;1873.00;334.00;0.243;0.109;-0.003;0.964;0.000
1583774277972;VielberthGebaeude.3.23;1873.00;334.00;0.258;0.112;-0.002;0.960;0.000
1583774277982;VielberthGebaeude.3.23;1873.00;334.00;0.269;0.111;-0.000;0.957;0.000
1583774277991;VielberthGebaeude.3.23;1873.00;334.00;0.275;0.109;0.001;0.955;0.000
1583774278002;VielberthGebaeude.3.23;1873.00;334.00;0.273;0.111;0.000;0.956;0.000
1583774278023;VielberthGebaeude.3.23;1873.00;334.00;0.181;-0.232;-0.919;0.263;0.000
1583774278041;VielberthGebaeude.3.23;1873.00;334.00;0.176;-0.230;-0.921;0.260;0.000
1583774278062;VielberthGebaeude.3.23;1873.00;334.00;0.159;-0.229;-0.927;0.249;0.000
1583774278081;VielberthGebaeude.3.23;1873.00;334.00;0.149;-0.236;-0.935;0.221;0.000
1583774278101;VielberthGebaeude.3.23;1873.00;334.00;0.167;-0.244;-0.932;0.208;0.000
1583774278121;VielberthGebaeude.3.23;1873.00;334.00;0.192;-0.227;-0.919;0.259;0.000
1583774278141;VielberthGebaeude.3.23;1873.00;334.00;0.196;-0.213;-0.914;0.284;0.000
1583774278161;VielberthGebaeude.3.23;1873.00;334.00;0.195;-0.216;-0.917;0.274;0.000
1583774278181;VielberthGebaeude.3.23;1873.00;334.00;0.185;-0.211;-0.919;0.279;0.000
1583774278201;VielberthGebaeude.3.23;1873.00;334.00;0.157;-0.208;-0.933;0.250;0.000
1583774278221;VielberthGebaeude.3.23;1873.00;334.00;0.156;-0.227;-0.942;0.193;0.000
1583774278242;VielberthGebaeude.3.23;1873.00;334.00;0.172;-0.234;-0.930;0.228;0.000
