timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583775752758;VielberthGebaeude.3.47;1290.00;653.00;0.305;-0.005;0.000;0.952;0.000
1583775752777;VielberthGebaeude.3.47;1290.00;653.00;0.305;-0.005;0.000;0.952;0.000
1583775752797;VielberthGebaeude.3.47;1290.00;653.00;0.294;-0.006;0.000;0.956;0.000
1583775752817;VielberthGebaeude.3.47;1290.00;653.00;0.300;0.002;-0.002;0.954;0.000
1583775752837;VielberthGebaeude.3.47;1290.00;653.00;0.314;-0.000;-0.001;0.949;0.000
1583775752864;VielberthGebaeude.3.47;1290.00;653.00;0.319;-0.002;-0.001;0.948;0.000
1583775752873;VielberthGebaeude.3.47;1290.00;653.00;0.317;-0.002;-0.001;0.948;0.000
1583775752883;VielberthGebaeude.3.47;1290.00;653.00;0.314;-0.001;-0.001;0.949;0.000
1583775752893;VielberthGebaeude.3.47;1290.00;653.00;0.312;0.001;-0.002;0.950;0.000
1583775752903;VielberthGebaeude.3.47;1290.00;653.00;0.311;0.001;-0.002;0.950;0.000
1583775752913;VielberthGebaeude.3.47;1290.00;653.00;0.004;-0.311;-0.950;0.020;0.000
1583775752923;VielberthGebaeude.3.47;1290.00;653.00;-0.002;-0.311;-0.950;0.022;0.000
1583775752934;VielberthGebaeude.3.47;1290.00;653.00;-0.009;-0.312;-0.950;0.011;0.000
1583775752943;VielberthGebaeude.3.47;1290.00;653.00;-0.013;-0.311;-0.950;0.012;0.000
1583775752954;VielberthGebaeude.3.47;1290.00;653.00;0.020;0.310;0.950;0.001;0.000
1583775752963;VielberthGebaeude.3.47;1290.00;653.00;0.021;0.310;0.951;0.001;0.000
1583775752974;VielberthGebaeude.3.47;1290.00;653.00;0.026;0.307;0.951;0.007;0.000
1583775752983;VielberthGebaeude.3.47;1290.00;653.00;0.029;0.304;0.952;0.006;0.000
1583775752993;VielberthGebaeude.3.47;1290.00;653.00;0.036;0.301;0.953;0.023;0.000
1583775753004;VielberthGebaeude.3.47;1290.00;653.00;0.036;0.296;0.954;0.023;0.000
1583775753013;VielberthGebaeude.3.47;1290.00;653.00;0.037;0.294;0.955;0.019;0.000
1583775753024;VielberthGebaeude.3.47;1290.00;653.00;0.045;0.297;0.954;0.017;0.000
1583775753033;VielberthGebaeude.3.47;1290.00;653.00;0.051;0.301;0.952;0.024;0.000
1583775753043;VielberthGebaeude.3.47;1290.00;653.00;0.051;0.305;0.951;0.025;0.000
1583775753054;VielberthGebaeude.3.47;1290.00;653.00;0.050;0.310;0.949;0.025;0.000
1583775753064;VielberthGebaeude.3.47;1290.00;653.00;0.050;0.316;0.947;0.026;0.000
1583775753074;VielberthGebaeude.3.47;1290.00;653.00;0.053;0.319;0.946;0.021;0.000
1583775753084;VielberthGebaeude.3.47;1290.00;653.00;0.061;0.322;0.945;0.019;0.000
1583775753094;VielberthGebaeude.3.47;1290.00;653.00;0.076;0.326;0.942;0.033;0.000
1583775753104;VielberthGebaeude.3.47;1290.00;653.00;0.088;0.328;0.940;0.030;0.000
1583775753114;VielberthGebaeude.3.47;1290.00;653.00;0.113;0.324;0.937;0.063;0.000
1583775753124;VielberthGebaeude.3.47;1290.00;653.00;0.122;0.316;0.939;0.060;0.000
1583775753134;VielberthGebaeude.3.47;1290.00;653.00;0.140;0.305;0.937;0.092;0.000
1583775753144;VielberthGebaeude.3.47;1290.00;653.00;0.138;0.300;0.939;0.094;0.000
1583775753154;VielberthGebaeude.3.47;1290.00;653.00;0.132;0.291;0.943;0.089;0.000
1583775753164;VielberthGebaeude.3.47;1290.00;653.00;0.124;0.280;0.948;0.091;0.000
1583775753174;VielberthGebaeude.3.47;1290.00;653.00;0.107;0.276;0.952;0.073;0.000
1583775753184;VielberthGebaeude.3.47;1290.00;653.00;0.092;0.270;0.955;0.077;0.000
1583775753194;VielberthGebaeude.3.47;1290.00;653.00;0.067;0.274;0.959;0.033;0.000
1583775753205;VielberthGebaeude.3.47;1290.00;653.00;0.056;0.278;0.958;0.037;0.000
1583775753214;VielberthGebaeude.3.47;1290.00;653.00;-0.035;-0.281;-0.959;0.011;0.000
1583775753224;VielberthGebaeude.3.47;1290.00;653.00;-0.028;-0.281;-0.959;0.008;0.000
1583775753235;VielberthGebaeude.3.47;1290.00;653.00;-0.023;-0.278;-0.960;0.028;0.000
1583775753245;VielberthGebaeude.3.47;1290.00;653.00;-0.024;-0.274;-0.961;0.028;0.000
1583775753254;VielberthGebaeude.3.47;1290.00;653.00;-0.026;-0.273;-0.961;0.032;0.000
1583775753264;VielberthGebaeude.3.47;1290.00;653.00;-0.026;-0.275;-0.961;0.032;0.000
1583775753275;VielberthGebaeude.3.47;1290.00;653.00;-0.036;-0.279;-0.959;0.017;0.000
1583775753285;VielberthGebaeude.3.47;1290.00;653.00;-0.040;-0.290;-0.956;0.017;0.000
1583775753296;VielberthGebaeude.3.47;1290.00;653.00;0.046;0.302;0.952;0.010;0.000
1583775753306;VielberthGebaeude.3.47;1290.00;653.00;0.043;0.314;0.949;0.012;0.000
1583775753316;VielberthGebaeude.3.47;1290.00;653.00;0.046;0.322;0.945;0.020;0.000
1583775753326;VielberthGebaeude.3.47;1290.00;653.00;0.042;0.334;0.941;0.022;0.000
1583775753336;VielberthGebaeude.3.47;1290.00;653.00;0.035;0.339;0.940;0.014;0.000
1583775753347;VielberthGebaeude.3.47;1290.00;653.00;0.035;0.341;0.939;0.014;0.000
1583775753356;VielberthGebaeude.3.47;1290.00;653.00;-0.023;-0.337;-0.941;0.001;0.000
1583775753366;VielberthGebaeude.3.47;1290.00;653.00;0.014;0.334;0.943;0.002;0.000
1583775753376;VielberthGebaeude.3.47;1290.00;653.00;-0.003;-0.330;-0.944;0.019;0.000
1583775753386;VielberthGebaeude.3.47;1290.00;653.00;-0.001;-0.322;-0.947;0.019;0.000
1583775753396;VielberthGebaeude.3.47;1290.00;653.00;0.002;-0.313;-0.949;0.031;0.000
1583775753406;VielberthGebaeude.3.47;1290.00;653.00;0.004;-0.307;-0.951;0.031;0.000
1583775753416;VielberthGebaeude.3.47;1290.00;653.00;0.001;-0.300;-0.954;0.008;0.000
1583775753426;VielberthGebaeude.3.47;1290.00;653.00;0.002;-0.291;-0.957;0.009;0.000
1583775753436;VielberthGebaeude.3.47;1290.00;653.00;-0.001;-0.289;-0.957;0.003;0.000
1583775753446;VielberthGebaeude.3.47;1290.00;653.00;-0.007;-0.290;-0.957;0.006;0.000
1583775753456;VielberthGebaeude.3.47;1290.00;653.00;0.017;0.282;0.959;0.026;0.000
