timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583775673836;VielberthGebaeude.3.47;1290.00;653.00;0.255;0.029;0.000;0.967;0.000
1583775673856;VielberthGebaeude.3.47;1290.00;653.00;0.255;0.029;0.000;0.967;0.000
1583775673876;VielberthGebaeude.3.47;1290.00;653.00;0.255;0.029;0.000;0.967;0.000
1583775673897;VielberthGebaeude.3.47;1290.00;653.00;0.227;-0.006;0.008;0.974;0.000
1583775673917;VielberthGebaeude.3.47;1290.00;653.00;0.227;-0.001;0.007;0.974;0.000
1583775673947;VielberthGebaeude.3.47;1290.00;653.00;0.220;0.010;0.005;0.976;0.000
1583775673956;VielberthGebaeude.3.47;1290.00;653.00;0.221;0.011;0.004;0.975;0.000
1583775673972;VielberthGebaeude.3.47;1290.00;653.00;0.230;0.012;0.004;0.973;0.000
1583775673983;VielberthGebaeude.3.47;1290.00;653.00;0.237;0.008;0.005;0.972;0.000
1583775673992;VielberthGebaeude.3.47;1290.00;653.00;0.241;0.007;0.006;0.971;0.000
1583775674002;VielberthGebaeude.3.47;1290.00;653.00;0.244;0.006;0.006;0.970;0.000
1583775674013;VielberthGebaeude.3.47;1290.00;653.00;0.038;0.242;0.960;0.138;0.000
1583775674023;VielberthGebaeude.3.47;1290.00;653.00;0.051;0.240;0.960;0.135;0.000
1583775674033;VielberthGebaeude.3.47;1290.00;653.00;0.062;0.237;0.956;0.158;0.000
1583775674042;VielberthGebaeude.3.47;1290.00;653.00;0.066;0.234;0.957;0.157;0.000
1583775674052;VielberthGebaeude.3.47;1290.00;653.00;0.071;0.232;0.955;0.169;0.000
1583775674062;VielberthGebaeude.3.47;1290.00;653.00;0.066;0.235;0.955;0.170;0.000
1583775674072;VielberthGebaeude.3.47;1290.00;653.00;0.056;0.234;0.957;0.159;0.000
1583775674082;VielberthGebaeude.3.47;1290.00;653.00;0.045;0.233;0.958;0.162;0.000
1583775674093;VielberthGebaeude.3.47;1290.00;653.00;0.028;0.229;0.965;0.124;0.000
1583775674102;VielberthGebaeude.3.47;1290.00;653.00;0.023;0.224;0.966;0.126;0.000
1583775674113;VielberthGebaeude.3.47;1290.00;653.00;0.023;0.219;0.967;0.127;0.000
1583775674122;VielberthGebaeude.3.47;1290.00;653.00;0.030;0.219;0.967;0.126;0.000
1583775674132;VielberthGebaeude.3.47;1290.00;653.00;0.040;0.220;0.966;0.129;0.000
1583775674142;VielberthGebaeude.3.47;1290.00;653.00;0.046;0.224;0.965;0.127;0.000
1583775674153;VielberthGebaeude.3.47;1290.00;653.00;0.058;0.225;0.960;0.157;0.000
1583775674164;VielberthGebaeude.3.47;1290.00;653.00;0.063;0.226;0.960;0.155;0.000
1583775674173;VielberthGebaeude.3.47;1290.00;653.00;0.076;0.224;0.956;0.174;0.000
1583775674183;VielberthGebaeude.3.47;1290.00;653.00;0.083;0.227;0.955;0.172;0.000
1583775674194;VielberthGebaeude.3.47;1290.00;653.00;0.087;0.232;0.954;0.168;0.000
1583775674203;VielberthGebaeude.3.47;1290.00;653.00;0.086;0.233;0.954;0.168;0.000
1583775674214;VielberthGebaeude.3.47;1290.00;653.00;0.085;0.231;0.952;0.181;0.000
1583775674223;VielberthGebaeude.3.47;1290.00;653.00;0.079;0.223;0.954;0.183;0.000
1583775674234;VielberthGebaeude.3.47;1290.00;653.00;0.068;0.220;0.959;0.164;0.000
1583775674244;VielberthGebaeude.3.47;1290.00;653.00;0.064;0.214;0.961;0.165;0.000
1583775674253;VielberthGebaeude.3.47;1290.00;653.00;0.058;0.213;0.964;0.149;0.000
1583775674264;VielberthGebaeude.3.47;1290.00;653.00;0.054;0.215;0.964;0.150;0.000
1583775674273;VielberthGebaeude.3.47;1290.00;653.00;0.051;0.219;0.961;0.160;0.000
1583775674284;VielberthGebaeude.3.47;1290.00;653.00;0.048;0.219;0.961;0.160;0.000
1583775674294;VielberthGebaeude.3.47;1290.00;653.00;0.041;0.213;0.966;0.143;0.000
1583775674304;VielberthGebaeude.3.47;1290.00;653.00;0.043;0.206;0.967;0.143;0.000
1583775674314;VielberthGebaeude.3.47;1290.00;653.00;0.045;0.204;0.969;0.135;0.000
1583775674324;VielberthGebaeude.3.47;1290.00;653.00;0.050;0.207;0.968;0.134;0.000
1583775674334;VielberthGebaeude.3.47;1290.00;653.00;0.059;0.210;0.963;0.156;0.000
1583775674344;VielberthGebaeude.3.47;1290.00;653.00;0.059;0.213;0.963;0.156;0.000
1583775674354;VielberthGebaeude.3.47;1290.00;653.00;0.058;0.212;0.963;0.157;0.000
1583775674363;VielberthGebaeude.3.47;1290.00;653.00;0.050;0.205;0.964;0.160;0.000
1583775674374;VielberthGebaeude.3.47;1290.00;653.00;0.040;0.196;0.968;0.154;0.000
1583775674383;VielberthGebaeude.3.47;1290.00;653.00;0.035;0.185;0.969;0.159;0.000
1583775674394;VielberthGebaeude.3.47;1290.00;653.00;0.031;0.177;0.971;0.160;0.000
1583775674403;VielberthGebaeude.3.47;1290.00;653.00;0.025;0.177;0.971;0.161;0.000
1583775674414;VielberthGebaeude.3.47;1290.00;653.00;0.020;0.177;0.974;0.143;0.000
1583775674424;VielberthGebaeude.3.47;1290.00;653.00;0.010;0.178;0.973;0.145;0.000
1583775674433;VielberthGebaeude.3.47;1290.00;653.00;0.005;0.184;0.974;0.134;0.000
1583775674443;VielberthGebaeude.3.47;1290.00;653.00;0.002;0.191;0.972;0.134;0.000
1583775674453;VielberthGebaeude.3.47;1290.00;653.00;-0.002;0.193;0.971;0.143;0.000
1583775674463;VielberthGebaeude.3.47;1290.00;653.00;-0.003;0.197;0.970;0.143;0.000
1583775674473;VielberthGebaeude.3.47;1290.00;653.00;-0.003;0.199;0.971;0.135;0.000
1583775674483;VielberthGebaeude.3.47;1290.00;653.00;-0.008;0.205;0.969;0.135;0.000
1583775674494;VielberthGebaeude.3.47;1290.00;653.00;-0.015;0.209;0.968;0.137;0.000
1583775674503;VielberthGebaeude.3.47;1290.00;653.00;-0.027;0.211;0.967;0.139;0.000
1583775674513;VielberthGebaeude.3.47;1290.00;653.00;-0.041;0.211;0.968;0.131;0.000
1583775674524;VielberthGebaeude.3.47;1290.00;653.00;-0.050;0.210;0.967;0.133;0.000
1583775674534;VielberthGebaeude.3.47;1290.00;653.00;-0.054;0.207;0.971;0.109;0.000
1583775674544;VielberthGebaeude.3.47;1290.00;653.00;-0.057;0.203;0.971;0.108;0.000
1583775674554;VielberthGebaeude.3.47;1290.00;653.00;-0.061;0.195;0.973;0.105;0.000
1583775674564;VielberthGebaeude.3.47;1290.00;653.00;-0.063;0.191;0.974;0.105;0.000
1583775674573;VielberthGebaeude.3.47;1290.00;653.00;-0.065;0.190;0.974;0.102;0.000
1583775674583;VielberthGebaeude.3.47;1290.00;653.00;-0.064;0.197;0.973;0.100;0.000
1583775674593;VielberthGebaeude.3.47;1290.00;653.00;-0.056;0.200;0.973;0.104;0.000
1583775674603;VielberthGebaeude.3.47;1290.00;653.00;-0.041;0.199;0.974;0.099;0.000
1583775674614;VielberthGebaeude.3.47;1290.00;653.00;-0.020;0.196;0.973;0.119;0.000
1583775674623;VielberthGebaeude.3.47;1290.00;653.00;-0.004;0.189;0.975;0.114;0.000
1583775674634;VielberthGebaeude.3.47;1290.00;653.00;0.016;0.183;0.969;0.165;0.000
