timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1583775534350;VielberthGebaeude.3.48;1306.00;1050.00;0.278;0.151;0.000;0.948;0.000
1583775534369;VielberthGebaeude.3.48;1306.00;1050.00;0.278;0.151;0.000;0.948;0.000
1583775534389;VielberthGebaeude.3.48;1306.00;1050.00;0.278;0.151;0.000;0.948;0.000
1583775534409;VielberthGebaeude.3.48;1306.00;1050.00;0.281;0.065;0.026;0.957;0.000
1583775534430;VielberthGebaeude.3.48;1306.00;1050.00;0.292;0.085;0.021;0.952;0.000
1583775534462;VielberthGebaeude.3.48;1306.00;1050.00;0.290;0.128;0.007;0.948;0.000
1583775534472;VielberthGebaeude.3.48;1306.00;1050.00;0.283;0.136;0.004;0.949;0.000
1583775534481;VielberthGebaeude.3.48;1306.00;1050.00;0.268;0.141;0.000;0.953;0.000
1583775534488;VielberthGebaeude.3.48;1306.00;1050.00;0.264;0.135;0.001;0.955;0.000
1583775534499;VielberthGebaeude.3.48;1306.00;1050.00;0.271;0.114;0.008;0.956;0.000
1583775534507;VielberthGebaeude.3.48;1306.00;1050.00;0.236;-0.182;-0.803;0.516;0.000
1583775534517;VielberthGebaeude.3.48;1306.00;1050.00;0.229;-0.188;-0.802;0.519;0.000
1583775534527;VielberthGebaeude.3.48;1306.00;1050.00;0.225;-0.188;-0.800;0.523;0.000
1583775534537;VielberthGebaeude.3.48;1306.00;1050.00;0.224;-0.184;-0.802;0.523;0.000
1583775534548;VielberthGebaeude.3.48;1306.00;1050.00;0.220;-0.184;-0.803;0.522;0.000
1583775534558;VielberthGebaeude.3.48;1306.00;1050.00;0.208;-0.184;-0.804;0.525;0.000
1583775534568;VielberthGebaeude.3.48;1306.00;1050.00;0.200;-0.185;-0.809;0.520;0.000
1583775534578;VielberthGebaeude.3.48;1306.00;1050.00;0.203;-0.180;-0.810;0.519;0.000
1583775534588;VielberthGebaeude.3.48;1306.00;1050.00;0.210;-0.175;-0.812;0.516;0.000
1583775534598;VielberthGebaeude.3.48;1306.00;1050.00;0.216;-0.179;-0.810;0.515;0.000
1583775534608;VielberthGebaeude.3.48;1306.00;1050.00;0.222;-0.193;-0.804;0.517;0.000
1583775534618;VielberthGebaeude.3.48;1306.00;1050.00;0.225;-0.207;-0.799;0.517;0.000
1583775534628;VielberthGebaeude.3.48;1306.00;1050.00;0.228;-0.206;-0.791;0.528;0.000
1583775534638;VielberthGebaeude.3.48;1306.00;1050.00;0.238;-0.193;-0.795;0.524;0.000
1583775534648;VielberthGebaeude.3.48;1306.00;1050.00;0.248;-0.183;-0.791;0.528;0.000
1583775534658;VielberthGebaeude.3.48;1306.00;1050.00;0.254;-0.186;-0.790;0.526;0.000
1583775534669;VielberthGebaeude.3.48;1306.00;1050.00;0.263;-0.186;-0.788;0.525;0.000
1583775534678;VielberthGebaeude.3.48;1306.00;1050.00;0.258;-0.188;-0.787;0.528;0.000
1583775534688;VielberthGebaeude.3.48;1306.00;1050.00;0.246;-0.188;-0.780;0.544;0.000
1583775534699;VielberthGebaeude.3.48;1306.00;1050.00;0.217;-0.204;-0.777;0.555;0.000
1583775534708;VielberthGebaeude.3.48;1306.00;1050.00;0.196;-0.207;-0.781;0.556;0.000
1583775534718;VielberthGebaeude.3.48;1306.00;1050.00;0.176;-0.194;-0.786;0.560;0.000
1583775534728;VielberthGebaeude.3.48;1306.00;1050.00;0.164;-0.187;-0.796;0.551;0.000
1583775534739;VielberthGebaeude.3.48;1306.00;1050.00;0.158;-0.184;-0.797;0.553;0.000
1583775534749;VielberthGebaeude.3.48;1306.00;1050.00;0.148;-0.196;-0.800;0.548;0.000
1583775534759;VielberthGebaeude.3.48;1306.00;1050.00;0.149;-0.199;-0.799;0.548;0.000
1583775534769;VielberthGebaeude.3.48;1306.00;1050.00;0.152;-0.197;-0.793;0.555;0.000
1583775534779;VielberthGebaeude.3.48;1306.00;1050.00;0.143;-0.196;-0.794;0.557;0.000
1583775534789;VielberthGebaeude.3.48;1306.00;1050.00;0.141;-0.188;-0.789;0.568;0.000
1583775534799;VielberthGebaeude.3.48;1306.00;1050.00;0.118;-0.197;-0.787;0.572;0.000
1583775534809;VielberthGebaeude.3.48;1306.00;1050.00;0.094;-0.209;-0.784;0.577;0.000
1583775534820;VielberthGebaeude.3.48;1306.00;1050.00;0.085;-0.207;-0.785;0.578;0.000
1583775534830;VielberthGebaeude.3.48;1306.00;1050.00;0.090;-0.193;-0.778;0.591;0.000
1583775534840;VielberthGebaeude.3.48;1306.00;1050.00;0.081;-0.184;-0.780;0.592;0.000
1583775534851;VielberthGebaeude.3.48;1306.00;1050.00;0.078;-0.180;-0.784;0.590;0.000
1583775534861;VielberthGebaeude.3.48;1306.00;1050.00;0.096;-0.156;-0.789;0.587;0.000
1583775534870;VielberthGebaeude.3.48;1306.00;1050.00;0.112;-0.129;-0.785;0.595;0.000
1583775534880;VielberthGebaeude.3.48;1306.00;1050.00;0.120;-0.111;-0.787;0.595;0.000
1583775534890;VielberthGebaeude.3.48;1306.00;1050.00;0.119;-0.108;-0.780;0.605;0.000
1583775534900;VielberthGebaeude.3.48;1306.00;1050.00;0.104;-0.124;-0.776;0.609;0.000
1583775534910;VielberthGebaeude.3.48;1306.00;1050.00;0.094;-0.146;-0.778;0.604;0.000
1583775534920;VielberthGebaeude.3.48;1306.00;1050.00;0.096;-0.157;-0.775;0.605;0.000
1583775534930;VielberthGebaeude.3.48;1306.00;1050.00;0.097;-0.158;-0.762;0.621;0.000
1583775534941;VielberthGebaeude.3.48;1306.00;1050.00;0.091;-0.166;-0.760;0.622;0.000
1583775534950;VielberthGebaeude.3.48;1306.00;1050.00;0.092;-0.161;-0.764;0.618;0.000
1583775534960;VielberthGebaeude.3.48;1306.00;1050.00;0.104;-0.141;-0.767;0.617;0.000
1583775534970;VielberthGebaeude.3.48;1306.00;1050.00;0.116;-0.125;-0.775;0.608;0.000
1583775534980;VielberthGebaeude.3.48;1306.00;1050.00;0.152;-0.090;-0.779;0.602;0.000
1583775534990;VielberthGebaeude.3.48;1306.00;1050.00;0.178;-0.080;-0.766;0.613;0.000
1583775535000;VielberthGebaeude.3.48;1306.00;1050.00;0.174;-0.102;-0.760;0.618;0.000
1583775535010;VielberthGebaeude.3.48;1306.00;1050.00;0.160;-0.129;-0.752;0.627;0.000
1583775535021;VielberthGebaeude.3.48;1306.00;1050.00;0.144;-0.141;-0.748;0.632;0.000
1583775535030;VielberthGebaeude.3.48;1306.00;1050.00;0.124;-0.147;-0.740;0.645;0.000
1583775535040;VielberthGebaeude.3.48;1306.00;1050.00;0.099;-0.163;-0.736;0.650;0.000
1583775535051;VielberthGebaeude.3.48;1306.00;1050.00;0.092;-0.169;-0.732;0.654;0.000
1583775535061;VielberthGebaeude.3.48;1306.00;1050.00;0.098;-0.171;-0.732;0.652;0.000
1583775535070;VielberthGebaeude.3.48;1306.00;1050.00;0.103;-0.175;-0.719;0.665;0.000
1583775535081;VielberthGebaeude.3.48;1306.00;1050.00;0.087;-0.186;-0.718;0.665;0.000
1583775535091;VielberthGebaeude.3.48;1306.00;1050.00;0.090;-0.186;-0.705;0.678;0.000
1583775535101;VielberthGebaeude.3.48;1306.00;1050.00;0.076;-0.184;-0.708;0.678;0.000
1583775535111;VielberthGebaeude.3.48;1306.00;1050.00;0.081;-0.165;-0.708;0.682;0.000
1583775535121;VielberthGebaeude.3.48;1306.00;1050.00;0.100;-0.134;-0.718;0.676;0.000
1583775535131;VielberthGebaeude.3.48;1306.00;1050.00;0.110;-0.104;-0.729;0.667;0.000
1583775535141;VielberthGebaeude.3.48;1306.00;1050.00;0.125;-0.075;-0.735;0.662;0.000
1583775535152;VielberthGebaeude.3.48;1306.00;1050.00;0.110;-0.079;-0.741;0.658;0.000
1583775535162;VielberthGebaeude.3.48;1306.00;1050.00;0.065;-0.098;-0.740;0.662;0.000
