timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1582890158504;VielberthGebaeude.1.49;2093.00;904.00;0.224;0.023;0.000;0.974;0.000
1582890158524;VielberthGebaeude.1.49;2093.00;904.00;0.224;0.023;0.000;0.974;0.000
1582890158545;VielberthGebaeude.1.49;2093.00;904.00;0.203;0.018;0.001;0.979;0.000
1582890158565;VielberthGebaeude.1.49;2093.00;904.00;0.181;0.034;-0.003;0.983;0.000
1582890158580;VielberthGebaeude.1.49;2093.00;904.00;0.171;0.039;-0.004;0.984;0.000
1582890158591;VielberthGebaeude.1.49;2093.00;904.00;0.160;0.042;-0.005;0.986;0.000
1582890158601;VielberthGebaeude.1.49;2093.00;904.00;0.154;0.038;-0.005;0.987;0.000
1582890158611;VielberthGebaeude.1.49;2093.00;904.00;0.161;0.033;-0.004;0.986;0.000
1582890158621;VielberthGebaeude.1.49;2093.00;904.00;0.171;0.029;-0.003;0.985;0.000
1582890158631;VielberthGebaeude.1.49;2093.00;904.00;0.193;0.029;-0.002;0.981;0.000
1582890158641;VielberthGebaeude.1.49;2093.00;904.00;0.209;0.039;-0.004;0.977;0.000
1582890158651;VielberthGebaeude.1.49;2093.00;904.00;0.224;0.047;-0.005;0.973;0.000
1582890158660;VielberthGebaeude.1.49;2093.00;904.00;0.131;-0.193;-0.902;0.363;0.000
1582890158670;VielberthGebaeude.1.49;2093.00;904.00;0.124;-0.183;-0.905;0.364;0.000
1582890158681;VielberthGebaeude.1.49;2093.00;904.00;0.122;-0.161;-0.909;0.364;0.000
1582890158690;VielberthGebaeude.1.49;2093.00;904.00;0.121;-0.125;-0.916;0.362;0.000
1582890158700;VielberthGebaeude.1.49;2093.00;904.00;0.113;-0.090;-0.924;0.353;0.000
1582890158711;VielberthGebaeude.1.49;2093.00;904.00;0.098;-0.059;-0.929;0.352;0.000
1582890158720;VielberthGebaeude.1.49;2093.00;904.00;0.078;-0.047;-0.935;0.343;0.000
