timestamp;nodeId;nodeX;nodeY;x;y;z;w;accuracy
1582889857217;VielberthGebaeude.1.54;1185.00;363.00;0.119;-0.172;0.000;0.978;0.000
1582889857237;VielberthGebaeude.1.54;1185.00;363.00;0.119;-0.172;0.000;0.978;0.000
1582889857257;VielberthGebaeude.1.54;1185.00;363.00;0.179;0.023;-0.034;0.983;0.000
1582889857277;VielberthGebaeude.1.54;1185.00;363.00;0.184;0.026;-0.035;0.982;0.000
1582889857297;VielberthGebaeude.1.54;1185.00;363.00;0.186;0.009;-0.032;0.982;0.000
1582889857328;VielberthGebaeude.1.54;1185.00;363.00;0.180;0.030;-0.036;0.983;0.000
1582889857335;VielberthGebaeude.1.54;1185.00;363.00;0.177;0.040;-0.037;0.983;0.000
1582889857343;VielberthGebaeude.1.54;1185.00;363.00;0.172;0.039;-0.037;0.984;0.000
1582889857353;VielberthGebaeude.1.54;1185.00;363.00;0.169;0.035;-0.037;0.984;0.000
1582889857363;VielberthGebaeude.1.54;1185.00;363.00;0.177;-0.010;-0.029;0.984;0.000
1582889857372;VielberthGebaeude.1.54;1185.00;363.00;0.006;-0.176;-0.983;0.043;0.000
1582889857382;VielberthGebaeude.1.54;1185.00;363.00;0.035;-0.177;-0.983;0.038;0.000
1582889857393;VielberthGebaeude.1.54;1185.00;363.00;0.041;-0.181;-0.982;0.046;0.000
1582889857402;VielberthGebaeude.1.54;1185.00;363.00;0.031;-0.176;-0.983;0.048;0.000
1582889857412;VielberthGebaeude.1.54;1185.00;363.00;0.023;-0.170;-0.984;0.047;0.000
1582889857422;VielberthGebaeude.1.54;1185.00;363.00;0.008;-0.173;-0.984;0.050;0.000
1582889857434;VielberthGebaeude.1.54;1185.00;363.00;0.011;-0.180;-0.983;0.045;0.000
1582889857444;VielberthGebaeude.1.54;1185.00;363.00;0.018;-0.175;-0.983;0.044;0.000
1582889857453;VielberthGebaeude.1.54;1185.00;363.00;0.016;-0.172;-0.984;0.046;0.000
1582889857463;VielberthGebaeude.1.54;1185.00;363.00;0.014;-0.169;-0.984;0.047;0.000
1582889857474;VielberthGebaeude.1.54;1185.00;363.00;0.014;-0.168;-0.985;0.040;0.000
1582889857484;VielberthGebaeude.1.54;1185.00;363.00;0.018;-0.169;-0.985;0.038;0.000
